Subject,age,race,race_7_TEXT,maritalstatus,education,yearseducation,english.as.a.first.language,if.not.english.then.what,english.comfort.talk,english.comfort.read,usstate,Children,Children_number,Siblings,Siblings_2_number,Church,Household income,employmentindustry,OverallHealth,BFI.1_1,BFI.1_2,BFI.1_3,BFI.1_4,BFI.1_5,BFI.1_6,BFI.1_7,BFI.1_8,BFI.1_9,BFI.1_10,BFI.2_1,BFI.2_2,BFI.2_3,BFI.2_4,BFI.2_5,BFI.2_6,BFI.2_7,BFI.2_8,BFI.2_9,BFI.2_10,BFI.3_1,BFI.3_2,BFI.3_3,BFI.3_4,BFI.3_5,BFI.3_6,BFI.3_7,BFI.3_8,BFI.3_9,BFI.3_10,BFI.4_1,BFI.4_2,BFI.4_3,BFI.4_4,BFI.4_5,BFI.4_6,BFI.4_7,BFI.4_8,BFI.4_9,BFI.4_10,BFI.5_1,BFI.5_2,BFI.5_3,BFI.5_4,BFI.5_5,BFI.5_6,BFI.5_7,BFI.5_8,BFI.5_9,BFI.5_10,BFI.6_1,BFI.6_2,BFI.6_3,BFI.6_4,BFI.6_5,BFI.6_6,BFI.6_7,BFI.6_8,BFI.6_9,BFI.6_10,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
1,76,White,,Divorced,Master's degree,18,Yes,,Very comfortable,Very comfortable,Missouri,"Yes, I have ___ children",4,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999","Management, professional, and related",Excellent,5,5,2,5,1,5,5,2,5,5,2,2,5,1,5,2,5,4,2,5,5,1,1,5,1,1,5,2,5,1,2,5,2,1,5,2,2,5,1,5,5,1,5,5,1,4,1,2,5,1,2,5,5,1,1,5,5,2,1,5,54,54,51,13,60
2,71,White,,Widowed,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Kentucky,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,No,"$10,000 - $19,999",Retired,Good,2,5,4,5,1,4,5,5,5,5,1,1,3,1,3,4,1,4,1,5,1,1,4,5,1,3,4,4,5,2,2,5,2,1,5,5,2,3,1,4,3,2,3,4,1,3,1,3,5,1,5,4,4,1,1,3,5,3,1,2,32,56,32,13,53
3,68,White,,Divorced,"Some college, no degree",15,Yes,,Very comfortable,Very comfortable,Indiana,"Yes, I have ___ children",2,"Yes, I have ___ siblings",11,No,"$10,000 - $19,999",Retired,Excellent,4,5,1,5,1,5,5,1,5,5,2,1,5,1,5,4,1,5,1,5,4,1,1,5,1,1,4,1,5,1,4,5,4,1,5,2,1,5,1,4,5,2,5,5,1,4,1,1,5,2,1,5,5,1,1,4,4,1,1,5,48,57,59,12,58
4,61,White,,Single,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,Washington,No,0,No,0,No,"Under $10,000",Sales and office,Fair,4,5,2,1,1,2,4,2,4,5,2,3,5,1,4,4,2,5,5,5,1,1,2,5,1,4,4,2,1,1,4,5,3,4,5,2,2,4,2,5,2,3,5,2,1,2,1,1,2,1,4,5,5,2,1,2,3,1,4,5,29,50,53,39,59
5,72,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,No,"$20,000 - $34,999",Service,Fair,4,5,1,5,1,4,5,1,4,5,4,1,5,1,5,4,1,5,1,5,4,1,1,5,1,5,4,1,5,1,1,5,5,1,5,3,1,5,1,5,1,1,5,4,1,2,1,1,5,1,1,5,5,1,2,2,5,1,1,5,35,59,60,14,59
6,75,White,,Married,Master's degree,20,Yes,,Very comfortable,Very comfortable,Michigan,"Yes, I have ___ children",3,No,0,No,"$100,000 - $150,000",Retired,Very good,2,4,1,4,3,1,5,2,5,3,1,1,5,1,1,5,1,5,3,4,1,1,1,5,5,1,1,1,4,5,5,4,5,2,5,3,1,5,1,1,2,1,5,5,2,1,3,1,3,2,5,5,5,1,5,5,5,1,1,1,28,52,59,19,29
7,60,White,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,Georgia,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,Yes,"$50,000 - $74,999","Management, professional, and related",Fair,5,5,2,4,3,2,5,1,5,4,1,1,5,1,3,3,1,3,2,3,2,1,1,4,2,2,5,2,5,3,3,5,5,1,5,4,1,4,1,2,4,3,5,5,3,3,1,1,4,3,3,5,5,1,3,4,3,1,1,3,40,56,55,16,39
8,72,White,,Divorced,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Illinois,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,No,"$10,000 - $19,999",Retired,Excellent,3,5,2,1,2,3,5,1,3,5,2,3,4,5,4,2,1,3,5,5,3,1,3,5,2,1,3,2,1,1,2,4,4,5,5,3,1,4,4,5,5,3,5,2,1,4,1,1,1,1,1,5,5,4,2,4,3,1,5,4,47,51,51,51,55
9,63,White,,Widowed,Associate degree,14,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",1,No,"$35,000 - $49,999",Sales and office,Good,2,5,3,3,1,1,5,3,2,3,4,1,5,3,4,5,1,2,3,5,1,1,3,3,1,4,4,3,3,1,4,4,3,4,5,1,1,3,5,5,1,5,4,3,1,3,3,2,2,1,4,4,4,5,1,1,1,3,3,5,23,47,40,43,57
10,61,White,,Separated,Bachelor's degree,25,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$10,000 - $19,999",Sales and office,Good,3,2,4,2,3,4,4,2,3,5,2,3,3,2,4,2,3,5,4,5,3,1,4,2,4,4,2,4,3,3,2,2,2,4,5,4,3,2,3,4,2,5,5,3,2,3,3,1,1,1,1,4,2,3,3,2,2,2,3,2,38,34,38,41,45
11,78,White,,Married,"Some college, no degree",13,Yes,,Very comfortable,Comfortable,Pennsylvania,"Yes, I have ___ children",2,No,0,No,"$50,000 - $74,999",Retired,Fair,4,5,2,3,2,4,4,4,4,4,3,4,4,4,3,2,2,4,2,4,4,2,4,4,3,4,3,2,4,3,2,4,4,2,4,3,3,4,2,2,3,4,4,3,4,3,2,2,3,4,3,4,4,2,4,4,3,2,3,4,41,42,44,30,37
12,61,Hispanic,,Single,Bachelor's degree,17,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",2,No,"$50,000 - $74,999",Sales and office,Good,3,4,1,3,1,3,4,1,3,5,3,4,5,3,3,4,2,5,3,5,2,4,2,4,2,3,1,1,4,1,4,4,5,1,5,3,3,5,2,3,2,4,5,4,1,2,3,1,3,1,4,5,5,1,1,3,3,1,3,3,30,37,59,28,53
13,84,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Oregon,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$20,000 - $34,999",Retired,Good,4,5,2,4,1,4,5,2,4,5,1,2,4,1,5,4,1,4,2,5,2,1,3,5,1,4,3,2,4,1,2,5,3,2,5,3,2,4,2,5,3,2,4,,3,4,1,1,4,1,4,4,4,1,1,4,4,1,2,5,39,53,48,19,58
