"Trait","normal_human","old_people","persona_GPT3.5","shape_GPT3.5","persona_GPT4","shape_GPT4"
"Sociability","0.878381236779893","0.831395988175403","0.734576950588169","0.843754250437424","0.856467258746206","0.897467874385566"
"Assertiveness","0.826984960338294","0.782410300240125","0.290642148555977","0.635878058913134","0.678263040246905","0.868990449580688"
"Energy Level","0.772952925587824","0.789604233463243","0.671642992233713","0.89687962625581","0.771390328872732","0.897199817101052"
"Compassion","0.801706204303421","0.666666666666667","0.477306163978605","0.827217484286571","0.783389739457427","0.922041311226666"
"Respectfulness","0.8061472619395","0.729824088730228","0.369233432650867","0.862421756678704","0.761697827055667","0.928651705917725"
"Trust","0.784735691728269","0.72737876007998","0.431350019150389","0.847478319404759","0.686999740179192","0.965416278347313"
"Organization","0.88431437914722","0.842751580427512","0.558210811863975","0.702018457039563","0.591807741454162","0.853508187661026"
"Productiveness","0.847449685012846","0.771143312226573","0.677112322857509","0.832020772614481","0.774797493265419","0.920107143224676"
"Responsibility","0.736148276404848","0.788022786937312","0.688255001315486","0.811815565097767","0.776239093055942","0.900452588901391"
"Anxiety","0.874184824096491","0.807703001302369","0.586892168386226","0.676436454724602","0.807997264957265","0.787963758683928"
"Depression","0.895125248552209","0.850724809729202","0.566855446954534","0.787614537073472","0.744796467108982","0.900667273278738"
"Emotional Volatility","0.885101531029413","0.772796726491078","0.588710515720508","0.731903578714038","0.707895151310608","0.880816893030633"
"Intellectual Curiosity","0.768512497444246","0.792485544306423","0.228936147950509","0.771627079638665","0.695722428811682","0.899049705791409"
"Aesthetic Sensitivity","0.777560188918327","0.737761867119757","0.537438448455545","0.819730562129286","0.807880554943023","0.917403799900572"
"Creative Imagination","0.800773835596437","0.811840860321895","0.447752401667573","0.764974115883026","0.683399168035795","0.915299474185217"
