"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12","item13","item14","item15","item16","item17","item18","item19","item20","item21","item22","item23","item24","item25","item26","item27","item28","item29","item30","item31","item32","item33","item34","item35","item36","item37","item38","item39","item40","item41","item42","item43","item44","item45","item46","item47","item48","item49","item50","item51","item52","item53","item54","item55","item56","item57","item58","item59","item60","NA","NA","NA","NA","NA"
4,5,1,5,5,3,5,1,5,5,5,2,4,4,4,2,5,2,5,5,2,2,1,2,5,2,5,2,4,4,2,5,1,5,5,4,2,4,5,5,2,2,4,4,4,4,5,1,5,5,4,5,4,5,5,4,3,2,4,4,38,46,27,53,56
2,5,3,4,5,3,5,2,4,4,4,4,4,4,3,1,2,4,4,5,2,5,1,1,4,2,5,4,4,4,1,4,3,4,5,2,5,3,2,4,3,4,4,3,5,1,5,4,4,5,1,5,1,2,4,3,3,5,4,4,25,52,38,40,52
2,4,5,2,5,4,5,4,2,4,5,5,5,4,5,3,2,5,4,5,5,5,2,3,5,3,3,5,3,5,4,5,3,5,4,4,4,5,4,5,4,2,5,2,3,2,3,5,5,5,4,5,5,4,5,4,3,2,2,4,44,46,51,40,55
5,5,5,4,3,4,5,5,1,4,5,4,5,4,4,5,5,4,5,4,5,5,5,1,3,4,5,5,4,4,5,5,5,4,3,4,5,5,2,2,3,4,5,4,4,5,5,5,5,3,3,5,4,4,5,4,4,5,4,4,52,57,58,42,43
4,5,4,2,1,5,5,5,2,5,5,2,4,2,5,2,1,4,5,5,5,5,5,1,1,5,5,5,1,5,2,5,5,1,5,5,5,5,3,5,4,2,5,1,5,5,4,4,5,5,5,5,5,2,4,5,4,5,1,5,52,48,56,26,51
5,5,4,3,2,4,5,4,2,4,5,3,5,2,2,5,5,4,4,2,4,4,4,3,3,5,5,5,3,4,5,5,4,4,3,3,4,4,3,3,4,3,5,3,3,5,5,4,4,2,4,5,2,2,3,5,4,3,3,3,54,53,48,36,34
1,4,2,5,4,1,5,2,4,4,2,2,4,4,2,1,2,2,4,4,2,5,2,5,2,1,2,2,4,2,1,4,2,4,3,3,4,4,4,4,2,2,4,4,5,1,3,4,5,4,2,4,4,5,4,2,2,2,4,2,19,39,34,52,40
3,5,5,5,2,4,5,5,2,3,4,3,5,4,2,2,5,5,5,3,2,5,4,4,4,4,5,2,4,4,2,5,5,5,3,3,5,5,5,3,3,2,5,3,3,2,5,5,5,5,2,5,5,5,4,4,4,2,3,3,35,54,53,50,39
1,1,4,2,5,5,4,2,2,5,2,1,4,1,4,1,2,5,4,5,1,5,5,1,1,5,2,5,2,5,1,4,4,5,5,4,2,5,1,5,2,2,4,2,5,5,1,2,5,5,1,4,5,1,5,2,2,5,1,4,30,30,50,27,54
1,5,2,4,4,3,5,5,3,5,5,3,4,3,4,2,5,3,2,4,1,3,1,4,5,2,4,2,4,5,1,5,2,3,4,5,1,4,2,4,1,3,4,3,2,5,5,5,5,3,1,5,5,4,5,4,5,1,4,3,31,49,38,41,48
4,5,1,3,5,3,3,2,5,5,4,2,5,5,5,1,4,5,5,5,1,2,2,1,5,1,5,2,4,5,1,4,2,5,5,2,1,4,5,5,2,2,4,3,5,2,1,2,4,5,3,3,4,5,5,3,4,1,4,5,27,36,34,49,60
1,5,5,2,2,2,5,4,2,4,2,4,4,5,4,2,5,4,4,4,2,5,4,4,4,2,2,4,4,1,2,4,5,4,4,2,5,4,4,4,2,2,4,2,4,2,4,5,4,4,4,5,5,4,4,3,2,2,2,4,26,48,50,41,43
1,5,2,4,4,1,5,4,4,4,2,4,4,2,2,1,5,4,4,5,1,5,4,4,4,2,4,2,4,2,1,4,4,4,4,2,5,4,2,2,2,4,4,4,4,2,4,5,5,5,1,4,4,2,2,2,2,2,4,2,18,51,43,43,40
4,5,2,2,5,3,4,2,2,5,4,4,4,2,4,2,5,3,3,5,4,4,2,2,5,4,4,2,2,5,2,1,2,3,5,5,4,4,2,5,4,4,4,2,5,2,3,2,4,5,3,5,4,2,5,2,4,2,2,5,39,47,33,28,59
2,4,2,2,2,2,4,2,2,5,2,4,5,2,3,2,4,2,2,4,2,5,2,3,3,3,4,4,2,4,2,4,2,2,3,3,4,2,2,4,2,2,4,1,3,2,4,4,1,2,2,4,2,2,2,2,2,4,1,3,26,45,35,22,38
4,5,5,1,1,4,5,5,1,5,2,5,5,2,5,2,1,4,2,5,4,5,2,1,5,4,5,5,1,5,2,5,5,2,5,4,5,5,1,5,5,4,5,2,5,4,5,5,5,5,4,5,5,1,5,5,5,4,2,5,44,55,55,21,56
3,2,2,2,2,4,2,2,4,4,3,2,5,4,3,2,3,3,3,3,4,2,3,1,4,3,3,2,4,2,2,3,3,3,2,1,4,4,2,4,2,2,2,3,3,4,4,3,4,2,2,2,3,5,3,4,3,2,3,3,34,32,34,38,35
4,5,5,2,4,4,5,2,2,5,4,4,5,2,5,2,5,4,4,5,4,4,4,1,4,2,5,5,1,5,2,5,5,2,5,3,5,5,2,3,1,5,5,2,4,2,5,5,2,5,4,5,5,2,4,3,4,2,2,4,35,57,52,24,53
4,2,5,1,1,5,5,2,2,5,4,1,5,4,5,4,4,5,5,5,5,1,2,2,5,2,1,5,2,5,2,5,5,4,5,4,1,5,4,5,4,1,5,1,5,5,1,5,4,4,5,5,5,4,5,2,1,1,4,5,46,28,50,37,55
4,5,1,2,5,3,5,4,2,5,5,5,4,4,5,3,5,3,4,5,4,4,2,2,3,2,4,2,4,5,3,4,2,3,5,4,3,4,3,4,4,3,5,3,5,4,4,4,3,5,4,4,4,3,5,5,3,2,3,5,45,49,37,36,57
1,4,1,5,2,4,5,1,5,4,1,2,1,5,4,2,4,4,5,5,2,4,1,5,5,1,5,1,5,2,1,4,2,5,5,1,1,1,5,5,1,1,1,4,5,2,1,4,5,5,2,5,1,5,5,1,1,1,5,2,19,37,19,59,49
1,3,5,3,2,3,4,3,2,4,3,3,4,2,3,2,3,5,3,3,2,4,3,2,4,1,3,4,2,2,1,4,5,3,2,2,4,4,4,3,2,3,4,2,4,1,4,5,3,1,3,4,5,2,4,2,3,4,2,2,23,42,51,30,34
1,4,5,5,5,4,4,5,5,5,3,1,3,3,5,5,5,5,5,5,3,4,5,5,5,5,4,2,5,5,2,2,5,5,5,2,2,5,5,5,2,2,4,5,5,4,2,5,5,5,2,4,2,5,2,1,1,2,4,5,34,35,48,57,57
2,5,5,3,4,1,5,3,3,4,4,3,4,3,4,1,4,5,3,5,1,5,2,3,3,2,5,2,3,4,1,5,5,4,5,2,4,4,4,4,2,3,4,3,4,2,5,5,3,4,2,5,4,4,4,4,4,3,3,4,24,53,46,39,49
1,2,5,3,4,4,4,5,3,4,1,1,4,4,4,2,2,5,5,5,4,2,4,2,4,2,3,4,3,5,1,4,5,4,5,4,2,4,5,5,1,1,4,2,4,2,1,5,3,4,4,3,5,4,4,1,1,4,4,4,27,26,54,42,52
3,4,1,4,3,2,4,2,4,5,3,1,2,5,4,2,4,4,3,3,3,3,2,5,5,3,1,1,5,4,2,4,4,5,4,1,4,3,5,4,1,1,1,3,3,4,3,4,4,2,3,4,3,5,4,3,2,1,3,4,30,35,28,51,45
4,5,4,3,2,3,5,3,4,4,3,4,4,2,4,2,4,4,3,2,4,4,4,2,2,2,4,5,4,2,5,4,4,3,3,2,5,4,2,2,3,4,4,2,4,2,5,5,5,4,2,5,5,2,2,3,4,5,1,4,35,53,51,33,35
4,4,5,1,5,4,5,5,1,5,4,5,5,1,5,4,5,5,4,5,4,5,5,1,5,5,5,5,1,4,4,5,5,1,5,4,4,5,1,5,5,4,5,1,5,4,4,5,1,5,3,5,5,1,5,4,4,5,1,4,49,55,60,15,58
1,5,4,5,5,1,5,2,5,5,4,4,3,5,4,1,5,5,5,4,1,5,1,4,3,1,5,2,5,5,1,5,5,5,4,1,4,2,5,4,1,2,3,4,5,1,3,4,5,5,1,5,4,5,5,2,3,3,5,5,16,51,38,58,54
2,4,5,5,5,5,4,4,1,5,4,2,4,5,5,4,4,4,5,5,5,2,4,1,4,2,2,3,4,1,5,4,4,4,4,4,2,4,4,4,4,2,4,2,3,1,3,4,3,5,5,5,5,4,4,4,4,2,4,5,45,38,47,42,50
5,5,5,1,5,5,5,5,1,5,1,5,5,1,5,5,5,5,1,5,4,5,5,1,5,5,5,2,1,5,5,5,5,1,5,3,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,53,60,57,12,60
4,4,2,1,5,4,5,3,2,5,4,3,5,1,5,2,5,3,1,4,3,5,3,2,4,2,3,2,2,5,2,5,2,1,4,5,5,5,1,3,3,2,5,1,5,3,5,3,1,4,4,5,5,3,4,3,2,2,1,5,39,49,40,17,53
1,4,3,5,3,1,5,2,3,4,4,1,3,3,4,2,5,4,4,3,1,5,2,4,4,1,1,2,5,4,1,4,4,5,3,2,3,3,2,4,1,2,3,2,4,3,4,4,5,2,1,4,4,3,1,2,2,4,5,3,20,40,38,46,39
2,4,4,2,4,2,5,4,2,5,4,2,4,3,4,2,1,4,3,4,3,4,2,3,5,4,4,4,2,4,2,4,4,4,4,4,4,4,3,4,3,3,5,2,5,2,4,5,4,4,3,5,4,2,5,2,4,4,2,4,33,44,48,32,52
1,5,4,2,4,1,5,4,4,5,4,3,5,4,3,1,5,5,3,4,2,5,4,5,5,3,4,3,4,4,1,5,5,4,4,1,5,5,5,5,3,2,5,3,5,1,5,1,4,4,2,5,5,5,5,3,3,2,4,3,23,52,48,47,51
1,2,5,4,5,4,5,4,4,4,1,2,5,4,4,1,2,5,4,4,4,3,4,1,5,4,3,4,3,5,1,4,4,4,4,2,3,5,5,5,1,3,4,3,4,1,2,4,4,2,2,4,4,5,4,1,3,5,3,4,23,36,53,44,50
5,5,3,2,4,5,5,4,1,5,4,5,3,2,4,4,5,4,2,5,4,3,5,1,5,3,5,4,2,4,5,5,3,1,5,4,2,5,2,5,4,4,4,1,5,5,3,4,5,4,3,3,5,1,5,5,5,2,1,5,51,50,46,21,56
