"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12","item13","item14","item15","item16","item17","item18","item19","item20","item21","item22","item23","item24","item25","item26","item27","item28","item29","item30","item31","item32","item33","item34","item35","item36","item37","item38","item39","item40","item41","item42","item43","item44","item45","item46","item47","item48","item49","item50","item51","item52","item53","item54","item55","item56","item57","item58","item59","item60","NA","NA","NA","NA","NA"
3,4,4,3,5,4,5,5,2,5,4,4,4,3,5,3,5,5,4,5,4,4,4,2,5,4,4,5,2,5,2,4,4,4,5,2,4,4,3,5,3,3,4,2,5,3,5,5,3,4,4,4,5,3,5,4,4,4,2,5,40,50,53,33,59
3,5,4,3,4,3,5,4,2,5,4,4,4,3,4,3,5,4,4,5,3,4,3,2,5,3,4,4,2,5,2,4,4,3,5,3,4,4,3,5,3,3,4,2,5,3,5,5,3,4,4,4,5,2,5,3,4,3,2,5,37,51,48,31,57
3,4,3,2,3,3,4,3,2,4,3,4,4,3,4,3,4,4,3,4,3,4,3,2,3,3,4,3,2,3,3,4,4,3,4,3,4,4,3,4,3,4,4,2,3,3,4,4,3,3,3,4,4,3,3,4,4,3,3,4,37,48,43,31,42
3,3,3,3,1,3,4,3,3,1,1,3,5,3,1,3,3,5,3,1,3,3,3,3,1,3,3,3,3,1,3,3,5,3,1,3,3,4,3,1,3,3,5,3,1,3,3,3,3,1,3,3,5,3,1,3,3,3,3,1,34,37,47,36,12
1,2,3,3,1,3,5,3,4,1,1,3,5,1,1,1,2,5,3,2,3,4,3,2,1,3,3,3,2,1,1,3,4,3,2,1,3,4,3,1,3,2,5,1,1,3,2,5,3,2,2,4,4,3,1,1,3,3,1,1,23,36,47,29,15
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
3,4,3,3,4,3,4,3,2,5,4,4,4,3,4,3,4,4,4,4,3,4,3,2,4,3,4,3,3,4,3,4,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,4,3,4,4,4,4,3,4,3,4,3,3,4,38,46,43,35,49
1,3,3,4,3,1,4,1,5,1,1,3,3,3,2,1,3,3,4,3,1,5,1,4,2,1,3,3,3,2,1,3,3,3,3,1,3,2,5,4,1,2,3,2,3,1,2,4,4,3,2,3,2,5,2,1,2,3,3,2,13,36,31,45,30
3,5,3,2,3,3,5,4,2,4,3,5,5,3,4,3,5,4,3,4,3,5,3,2,3,3,5,4,2,3,2,5,4,3,4,2,5,4,3,4,4,4,5,2,3,3,5,5,3,3,3,5,4,3,3,4,5,4,2,4,36,59,49,30,42
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
1,3,3,4,3,1,3,1,4,2,1,3,3,3,2,1,3,3,5,3,1,5,1,4,3,1,3,3,3,3,1,3,3,3,3,1,5,2,4,5,1,3,3,2,3,1,3,3,5,3,1,3,2,5,3,1,3,3,2,3,12,40,30,44,36
3,3,5,3,3,4,5,5,2,4,3,4,5,1,4,3,5,5,3,3,4,5,5,2,3,5,4,5,2,5,3,4,5,3,3,3,5,5,3,4,4,3,5,2,5,3,5,5,3,3,5,5,5,1,3,4,4,5,1,4,44,52,60,26,44
5,4,4,2,4,5,5,5,1,5,5,3,5,2,5,5,5,3,2,4,5,2,5,1,5,5,4,2,1,5,5,5,4,2,4,5,4,5,1,5,5,4,5,2,5,5,5,4,1,4,5,4,5,1,4,5,4,2,2,5,60,49,49,18,55
1,1,3,3,1,3,3,3,4,1,1,3,4,3,1,3,1,4,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,4,2,1,3,1,3,3,1,3,3,3,3,1,1,3,3,1,1,30,30,39,34,12
3,4,3,3,4,3,4,3,2,5,4,4,3,3,4,3,4,3,4,4,3,4,3,2,4,3,4,3,3,4,2,4,3,3,4,3,4,4,3,4,4,3,3,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,39,47,39,35,49
2,2,3,5,3,3,3,3,4,2,1,2,2,5,2,3,4,2,5,3,2,2,2,5,3,3,2,3,5,3,3,2,3,5,3,2,2,2,5,4,2,2,2,4,3,2,2,4,1,3,4,2,3,5,3,2,2,2,5,3,29,27,31,54,35
3,3,1,3,3,2,2,1,3,3,3,3,1,3,2,3,3,1,3,3,1,3,1,4,3,1,3,1,3,3,3,2,1,3,3,2,3,1,3,2,1,3,1,4,3,3,3,1,3,3,1,2,1,3,3,2,3,1,3,2,25,33,12,38,33
1,1,3,3,1,3,3,3,4,1,1,3,4,2,1,2,1,5,3,1,3,3,3,3,1,3,3,3,3,1,3,3,4,3,1,1,3,3,3,1,3,3,4,1,1,3,1,3,3,1,3,3,5,3,1,1,3,3,1,1,27,30,43,32,12
1,2,3,5,3,2,3,5,5,3,5,1,1,5,2,5,5,1,5,3,1,1,1,5,5,5,2,1,5,5,1,2,2,5,3,1,1,2,5,5,2,1,2,5,5,2,5,5,5,3,5,2,2,5,5,2,2,1,5,3,32,27,26,60,45
3,3,3,2,3,3,4,3,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,2,3,3,4,3,3,3,3,3,4,3,4,3,3,4,2,3,3,3,3,2,3,3,4,4,3,3,3,3,3,2,3,36,40,40,29,38
4,4,3,2,3,4,5,4,2,4,4,4,4,3,4,4,4,4,3,4,3,4,3,2,4,3,4,3,2,4,4,4,4,3,4,3,4,4,2,4,4,4,4,2,4,4,4,4,3,3,4,4,4,2,3,4,4,3,3,4,45,49,44,29,45
2,1,2,5,5,4,2,5,5,3,5,1,1,5,2,5,1,1,5,3,1,1,2,5,5,4,1,1,5,5,5,2,1,5,2,5,1,2,5,5,2,1,1,5,5,3,1,1,5,5,5,2,2,5,4,2,1,1,5,1,43,15,20,60,45
2,3,2,4,3,2,3,2,4,3,3,4,3,4,3,3,4,2,3,3,2,3,2,3,3,2,3,2,4,3,2,3,3,3,3,2,3,2,3,3,2,3,3,4,3,3,3,2,3,3,2,3,2,3,3,3,3,2,3,2,28,38,27,41,35
3,5,3,2,3,3,5,5,1,5,3,5,5,1,4,3,5,4,3,4,3,5,3,1,3,3,5,5,2,3,3,5,4,3,4,2,5,5,1,5,4,5,5,2,3,3,5,5,3,3,3,5,5,3,3,4,5,5,2,4,37,60,54,24,44
2,2,3,4,4,4,2,3,4,2,4,2,2,4,3,4,2,2,4,2,5,2,3,4,4,4,2,4,4,5,4,2,2,3,3,4,1,2,3,5,3,2,2,3,3,3,2,2,3,2,5,2,2,3,3,2,2,2,3,5,44,23,29,42,41
3,3,1,1,3,3,3,1,3,3,3,3,1,4,3,3,3,1,3,3,2,3,1,4,3,2,3,1,3,3,3,3,1,3,3,2,2,1,3,3,2,3,1,4,3,3,3,1,3,3,2,2,1,3,3,3,3,1,4,3,31,34,12,38,36
3,4,3,2,3,3,4,3,2,4,3,4,4,3,4,3,4,4,3,4,3,4,3,2,3,3,4,3,2,3,2,4,4,3,4,3,3,4,3,4,4,3,4,2,3,3,4,4,3,3,3,4,4,3,3,4,4,3,3,4,37,46,43,31,42
2,3,3,4,3,2,4,2,4,2,2,4,3,3,2,2,3,3,4,3,2,4,2,4,3,2,3,3,4,3,2,3,3,4,3,2,4,3,4,4,2,3,3,2,3,2,4,4,4,3,2,4,3,4,3,2,3,3,2,3,24,42,35,43,35
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
3,4,3,3,4,3,4,4,2,5,4,4,4,3,4,3,4,4,4,5,3,4,3,2,4,3,4,4,2,4,2,4,4,3,4,3,4,4,3,4,3,3,4,2,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,38,47,45,33,50
3,3,3,3,1,3,3,3,3,1,3,3,5,3,1,3,3,5,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,4,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,36,36,41,36,12
3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,2,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,35,36,36,36,20
2,1,3,5,3,5,1,1,5,1,3,1,1,3,5,3,1,3,3,2,5,1,3,1,2,3,1,1,5,3,4,1,2,3,2,1,1,5,2,2,3,1,1,3,3,4,1,1,3,2,5,1,2,1,3,2,1,1,3,3,40,12,24,37,31
4,5,4,3,5,3,5,5,1,5,5,4,4,4,5,3,5,3,4,5,3,4,4,2,5,4,5,4,2,5,4,5,3,2,5,2,4,4,4,5,4,4,4,3,5,4,5,5,3,5,4,5,4,2,5,5,4,3,4,5,45,55,47,34,60
2,2,3,4,3,2,3,2,4,2,2,3,3,4,2,2,3,3,4,3,2,4,2,4,3,2,3,3,3,3,2,2,3,4,3,2,2,2,4,3,2,2,3,3,3,2,2,3,3,3,2,2,2,4,3,2,2,3,3,3,24,30,32,44,34
3,4,5,3,5,4,5,5,2,5,4,3,4,3,5,3,5,4,4,5,4,4,5,2,5,4,4,5,2,5,3,4,4,3,5,4,4,5,3,5,4,3,4,2,5,4,5,5,3,5,5,4,5,3,5,4,3,4,2,5,46,48,55,32,60
5,4,5,1,5,5,5,5,1,5,5,4,5,1,5,5,5,4,2,5,5,2,5,1,5,5,5,4,1,5,5,5,5,2,4,5,5,5,1,5,5,4,5,2,5,5,5,5,1,5,5,4,5,1,5,5,5,4,1,5,60,53,57,15,59
2,2,3,4,3,3,2,3,4,2,3,2,2,4,4,3,2,2,3,2,2,2,3,4,3,3,2,2,4,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,2,3,2,3,2,3,3,3,2,2,2,2,3,32,24,30,39,32
3,3,5,3,3,3,5,5,2,4,3,4,5,2,3,3,4,5,3,3,3,5,4,2,3,3,4,5,2,4,3,4,5,3,3,3,5,5,3,4,4,3,5,2,4,3,5,5,3,3,4,5,5,3,2,3,3,5,1,3,38,50,59,29,39
3,1,5,1,5,5,1,5,5,3,5,1,1,1,3,5,1,5,5,1,5,1,1,1,5,5,1,1,5,3,1,5,3,1,3,1,1,3,4,5,3,1,1,1,3,3,1,1,3,1,1,1,2,3,5,3,1,1,3,1,40,16,29,33,38
