"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12","item13","item14","item15","item16","item17","item18","item19","item20","item21","item22","item23","item24","item25","item26","item27","item28","item29","item30","item31","item32","item33","item34","item35","item36","item37","item38","item39","item40","item41","item42","item43","item44","item45","item46","item47","item48","item49","item50","item51","item52","item53","item54","item55","item56","item57","item58","item59","item60","NA","NA","NA","NA","NA"
5,5,5,5,5,5,5,5,1,5,5,5,4,1,5,5,5,2,2,5,5,4,5,1,5,5,5,2,1,5,5,5,1,1,5,5,5,5,1,4,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,2,2,5,60,59,46,22,59
2,5,4,2,4,2,5,5,1,4,4,5,5,1,2,2,5,2,2,4,1,5,4,2,5,4,5,5,2,4,2,5,2,2,5,2,5,3,5,4,2,5,5,4,4,2,5,5,4,5,4,5,4,2,4,4,5,5,1,3,31,60,49,28,48
4,5,4,1,4,4,5,4,1,5,4,5,5,1,4,2,5,4,2,4,2,5,5,1,4,2,5,2,1,4,4,5,4,1,4,2,5,4,1,4,4,5,5,1,4,4,5,4,1,4,4,5,4,1,2,4,5,4,1,4,40,60,49,13,47
5,4,4,4,5,5,5,5,1,5,5,5,2,2,5,5,5,2,2,4,4,5,5,1,5,5,5,2,2,5,5,5,2,1,4,4,5,4,1,4,5,5,4,4,5,5,5,5,2,5,5,5,5,1,4,5,5,2,2,5,58,59,42,23,56
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
4,4,1,4,3,2,2,1,4,4,2,3,1,4,4,4,2,1,4,3,2,2,1,4,2,1,4,1,4,4,3,2,1,2,3,3,2,1,4,3,2,4,1,5,2,4,2,1,4,2,2,2,1,4,2,4,3,1,4,4,33,32,12,47,36
1,1,2,5,2,1,2,2,5,2,1,2,1,5,1,2,2,1,5,2,1,2,1,5,2,2,1,2,5,2,2,1,1,5,2,2,2,1,5,4,1,2,1,5,2,1,2,2,5,2,2,1,2,5,1,1,1,2,5,2,17,19,18,60,24
2,5,4,2,4,2,5,4,2,4,4,5,5,2,4,2,5,3,2,4,1,5,4,2,4,4,5,4,2,4,2,5,4,2,4,4,5,4,2,4,2,5,5,2,4,2,5,5,2,5,1,5,4,2,4,4,5,4,1,3,30,60,50,23,48
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
2,5,4,4,5,4,5,5,2,5,5,4,2,2,5,4,5,2,4,5,2,4,4,2,5,4,4,4,4,5,4,5,2,2,5,4,5,2,2,5,4,5,4,4,5,2,4,5,2,5,5,5,4,2,5,5,4,4,2,5,45,55,42,32,60
