,normal_human.ext,old_people.ext,persona_GPT3.5.ext,shape_GPT3.5.ext,persona_GPT4.ext,shape_GPT4.ext,normal_human.agr,old_people.agr,persona_GPT3.5.agr,shape_GPT3.5.agr,persona_GPT4.agr,shape_GPT4.agr,normal_human.con,old_people.con,persona_GPT3.5.con,shape_GPT3.5.con,persona_GPT4.con,shape_GPT4.con,normal_human.neu,old_people.neu,persona_GPT3.5.neu,shape_GPT3.5.neu,persona_GPT4.neu,shape_GPT4.neu,normal_human.ope,old_people.ope,persona_GPT3.5.ope,shape_GPT3.5.ope,persona_GPT4.ope,shape_GPT4.ope
1,0.788614073,0.72716732,0.669984748,0.735599204,0.754697803,0.835280108,0.752421917,0.66977899,0.658403999,0.777056065,0.746896762,0.934929313,0.920487094,0.811231425,0.413790538,0.552287142,0.607918877,0.66979146,0.833648664,0.755237618,0.684661746,0.522543025,0.665130077,0.786958709,0.682665409,0.637616921,0.643979144,0.782086755,0.775274462,0.804618118
2,0.83378312,0.814841957,0.665846131,0.835577949,0.871597651,0.789471125,0.551312453,0.378585873,-0.035373072,0.549019751,0.739113379,0.831031432,0.737218813,0.751685902,0.813512831,0.675371492,0.809054676,0.861908596,0.717336526,0.814562643,0.537969924,0.697260718,0.787175297,0.797110109,0.69744632,0.778230609,-0.050235253,0.727033149,0.560568937,0.885490846
3,0.815296279,0.823459755,0.753418664,0.859253805,0.829470898,0.783865048,0.753296585,0.709931707,0.859508621,0.898979021,0.698140772,0.7969309,0.901148726,0.792191137,0.841645764,0.833366364,0.612787596,0.826933033,0.860369701,0.818521613,0.385468614,0.595276503,0.748834313,0.851618075,0.590433013,0.673067223,0.481097582,0.548291355,0.63584358,0.826211489
4,0.780429614,0.618096104,0.495960804,0.574675473,0.806990001,0.924974278,0.799936196,0.670065296,0.089867648,0.649974095,0.71120073,0.895915771,0.693962368,0.671143706,0.084050768,0.462032512,0.499613925,0.77087451,0.775982345,0.517378743,0.483286068,0.546084281,0.697766112,0.418475513,0.736276358,0.748218397,0.078740831,0.671534617,0.469697751,0.864336883
5,0.722712425,0.661150797,0.734562391,0.450463115,0.710824547,0.95898277,0.82895016,0.705775352,0.637285513,0.861385446,0.860819454,0.947527417,0.726052181,0.63454313,0.45873014,0.562785212,0.600183122,0.75665841,0.719625936,0.639711876,0.610108016,0.746231257,0.410253667,0.721796428,0.622357147,0.38261289,0.196286418,0.595658044,0.888606383,0.782634398
6,0.869668425,0.819186426,0.575362763,0.397393171,0.659608695,0.873040175,0.626561926,0.613402623,-0.074672272,0.661822494,0.532219084,0.67276906,0.839740235,0.651878091,0.41634834,0.581939068,0.382664791,0.807328824,0.675428693,0.647569439,0.752889139,0.773514164,0.458356673,0.822114183,0.780318559,0.896987999,0.811118735,0.852286143,0.765337305,0.909829705
7,0.694996419,0.583496499,0.108743912,0.66278555,0.689996964,0.63804428,0.68314182,0.63196671,0.200798656,0.726402404,0.535226205,0.864582427,0.810703749,0.82687706,0.786768427,0.856519167,0.822342631,0.885696642,0.943910952,0.883361895,0.378244122,0.639364037,0.855356269,0.8809582,0.781287108,0.829291606,0.860473017,0.836207568,0.850551014,0.915653567
8,0.691718244,0.713618089,0.040672037,0.543628559,0.458279117,0.749775702,0.831049067,0.821037239,0.827728381,0.872081009,0.838106902,0.976060563,0.721663292,0.664451917,0.642184447,0.900970952,0.856101044,0.955793434,0.950071464,0.922603116,0.268105266,0.655115602,0.925563541,0.937561407,0.619334421,0.557854469,0.036955196,0.681818156,0.384487438,0.834567326
9,0.380595167,0.578027925,0.229581151,0.874688861,0.47784607,0.799716723,0.684435113,0.665685122,-0.007744626,0.666172252,0.930632243,0.863190811,0.701259519,0.812920505,0.76165044,0.84039686,0.89702535,0.973635384,0.819526682,0.825797016,0.383576284,0.745145973,1.062704669,0.863909567,0.747736695,0.719550466,0.636512206,0.851945439,0.614634223,0.795803877
10,0.748337715,0.637297667,0.582736109,0.824990521,0.826315283,0.819766015,0.695907378,0.571108032,-0.587111727,0.829114584,0.473495366,0.986731312,0.683912133,0.649598964,0.343682462,0.519241935,0.452975358,0.647662211,0.881425158,0.64950896,0.728973557,0.600467477,0.329440838,0.806204024,0.650616451,0.828749118,0.140321559,0.42997503,0.687916126,0.904823661
