"df","cfi","tli","rmsea","srmr_bentler_nomean"
"ext.normal_human",51,0.892375639073138,0.86072141527112,0.108858132458041,0.0568452641436094
"ext.old_people",51,0.872874970337225,0.835485255730526,0.110500201068585,0.0835008674921159
"ext.persona_GPT3.5",51,0.763640106038652,0.694122490167667,0.119261238228638,0.0839095824770443
"ext.shape_GPT3.5",51,0.749296270705623,0.675559879736689,0.212061838160609,0.110133786940773
"ext.persona_GPT4",51,0.805196814679542,0.747901760173526,0.146615976533103,0.0993932307233383
"ext.shape_GPT4",51,0.798244786042898,0.738905017231985,0.220379122140324,0.0769145653089714
"ext.persona_LLaMA3",51,0.884938688475413,0.851097126262299,0.131783796653711,0.0604504755775783
"ext.shape_LLaMA3",51,0.684448123865653,0.591638748532022,0.241444637957147,0.131789460685259
"agr.normal_human",51,0.874512650948482,0.8376046071098,0.10361660516231,0.0602881655920229
"agr.old_people",51,0.757265160300742,0.685872560389195,0.147875374848821,0.0978681145706954
"agr.persona_GPT3.5",51,0.691520557071686,0.600791309151594,0.131703390045818,0.119336009283456
"agr.shape_GPT3.5",51,0.844090813815026,0.798235170819445,0.170154772063741,0.0779145735616248
"agr.persona_GPT4",51,0.768889745295238,0.700916140970309,0.157895812558348,0.103307428646002
"agr.shape_GPT4",51,0.884455722530251,0.850472111509736,0.203654100928214,0.050486292661981
"agr.persona_LLaMA3",51,0.798129077772175,0.738755277116933,0.192200626417481,0.0880049062973343
"agr.shape_LLaMA3",51,0.839826764734296,0.792716989656147,0.233226307846643,0.0698006406358087
"con.normal_human",51,0.897455272467584,0.867295058487461,0.111630080434748,0.0583961286498277
"con.old_people",51,0.863747979467062,0.823673855780903,0.125990238632094,0.0785917893051149
"con.persona_GPT3.5",51,0.828597558411646,0.778185075591542,0.119410556433439,0.100374731113129
"con.shape_GPT3.5",51,0.705419663228822,0.618778387707887,0.219075175234317,0.138708297626903
"con.persona_GPT4",51,0.747477166015434,0.673205744255267,0.181808980697338,0.115811914542413
"con.shape_GPT4",51,0.784248278446803,0.720791889754686,0.23663614509198,0.0900512619422003
"con.persona_LLaMA3",51,0.767508552064998,0.699128714437056,0.206805669616356,0.108851973234733
"con.shape_LLaMA3",51,0.64171844689603,0.53634151951251,0.309603047926605,0.196462734275763
"neu.normal_human",51,0.931108228573258,0.91084594285951,0.105136706228573,0.052131409873622
"neu.old_people",51,0.901676200313218,0.872757435699459,0.11942478085174,0.0647586405499726
"neu.persona_GPT3.5",51,0.661056467611227,0.561367193379235,0.144061162675809,0.118144097361855
"neu.shape_GPT3.5",51,0.617897592565827,0.505514531555777,0.231181044095719,0.144405845396721
"neu.persona_GPT4",51,0.754375196639837,0.68213260741626,0.175336114409611,0.130899138354557
"neu.shape_GPT4",51,0.813487545613593,0.758630941382297,0.197529208963967,0.0798227885331984
"neu.persona_LLaMA3",51,0.88419902473407,0.850139914361738,0.138904998538454,0.0593771369493073
"neu.shape_LLaMA3",51,0.771909666988934,0.704824274926856,0.223600160914945,0.101388847157387
"ope.normal_human",51,0.899371271958982,0.869774587241035,0.103893591466111,0.0637049811691086
"ope.old_people",51,0.831267132690228,0.781639818775589,0.137763796785083,0.0935325535178481
"ope.persona_GPT3.5",51,0.879914136977785,0.844594765500664,0.0648934533322077,0.0684100051294483
"ope.shape_GPT3.5",51,0.862409720020775,0.82194199061512,0.13420635406134,0.0778356005949482
"ope.persona_GPT4",51,0.846568704009738,0.801441852247896,0.118265498294234,0.0819391546290665
"ope.shape_GPT4",51,0.811835113136024,0.756492499352502,0.224979345756393,0.0693683114008852
"ope.persona_LLaMA3",51,0.90448177274385,0.876388176492041,0.115761723364253,0.0770123462564308
"ope.shape_LLaMA3",51,0.860947019426989,0.820049083964339,0.185010627184585,0.0574001287593051
