"Trait","Mean","SD"
"1","Sociability",2.625,1.08037888865266
"2","Assertiveness",2.92434210526316,1.00826036730679
"3","Energy Level",3.29769736842105,0.976857015976188
"4","Compassion",3.96217105263158,0.872576999212019
"5","Respectfulness",4.19407894736842,0.696608011870993
"6","Trust",3.29440789473684,0.948640528539442
"7","Organization",3.77631578947368,0.956486177057128
"8","Productiveness",3.70888157894737,0.950097624361496
"9","Responsibility",3.93421052631579,0.744036357364689
"10","Anxiety",3.06578947368421,1.15400857728388
"11","Depression",2.53618421052632,1.15532452033994
"12","Emotional Volatility",2.40953947368421,1.04356643887143
"13","Intellectual Curiosity",4.10032894736842,0.768405433963464
"14","Aesthetic Sensitivity",3.86184210526316,0.869740328951584
"15","Creative Imagination",3.91447368421053,0.83443345531916
