"Trait","Mean","SD"
"1","Sociability",3.04333333333333,0.98111203487274
"2","Assertiveness",3.32583333333333,0.822625887056651
"3","Energy Level",3.87833333333333,0.87502349068643
"4","Compassion",4.16416666666667,0.814484862264743
"5","Respectfulness",4.38833333333333,0.740342880579649
"6","Trust",3.775,0.673960242170676
"7","Organization",3.23583333333333,0.792422921072892
"8","Productiveness",3.85083333333333,0.865566282182785
"9","Responsibility",3.52333333333333,0.952837106080907
"10","Anxiety",2.95916666666667,0.888070870930283
"11","Depression",2.20166666666667,0.885453168307869
"12","Emotional Volatility",2.60583333333333,0.923408495586484
"13","Intellectual Curiosity",3.51416666666667,0.962511854014945
"14","Aesthetic Sensitivity",3.46916666666667,1.09043775025422
"15","Creative Imagination",3.73166666666667,0.735845625684049
