,normal_human.mean,old_people.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd
1,2.980263158,3.654135338,2.856666667,2.61,3.136666667,2.87,1.319594533,1.255564058,0.904904265,1.138223106,0.647600838,1.08181997
2,4.164473684,4.533834586,4.12,3.533333333,3.193333333,3.216666667,1.025787237,0.783821951,0.910143507,1.171950132,0.506765818,1.211589336
3,3.677631579,4.165413534,3.463333333,3.286666667,3.026666667,3.156666667,1.248055301,1.142700491,0.597085078,1.114433531,0.269935374,1.014339772
4,2.493421053,2,2.556666667,2.753333333,2.99,2.976666667,1.307121151,1.066003582,0.834131168,1.159152422,0.387816113,1.211478914
5,3.592105263,3.827067669,3,3.003333333,3.483333333,3.136666667,1.181284872,1.311437323,0.578314932,0.840044326,0.676694372,0.949206087
6,2.888157895,3.195488722,3.193333333,3.223333333,3.026666667,3.126666667,1.268828224,1.299525826,0.64602377,1.031342708,0.269935374,1.020175516
7,4.473684211,4.654135338,4.92,4.476666667,3.336666667,3.72,0.690017453,0.564681632,0.409257424,1.039096383,0.651719277,1.285993493
8,3.519736842,4.28030303,3.773333333,3.333333333,3.363333333,3.256666667,1.265802861,1.072305029,0.69539014,1.171950132,0.739240926,1.286977048
9,2.486842105,1.917293233,2.12,2.56,2.87,2.83,1.212445627,0.977358164,0.946176958,1.474328825,0.440165673,1.280585673
10,4.414473684,4.503759398,4.213333333,3.786666667,3.363333333,3.246666667,0.817394333,0.840491019,0.850627678,1.079369732,0.59932143,1.346054145
11,3.638157895,4.052631579,3.13,2.8,3.393333333,3.056666667,1.19905781,1.123548151,0.400376077,1.1003192,0.702567358,1.147975777
12,3.394736842,3.887218045,3.523333333,3.426666667,3.03,3.236666667,1.25100169,1.265235248,0.557216766,0.931404281,0.263308002,1.130597064
13,4.144736842,4.458646617,3.833333333,3.2,3.253333333,3.4,0.8643636,0.908806062,0.726163388,1.267024534,0.556946605,1.433007922
14,2.453947368,1.962406015,2.98,2.966666667,3,2.816666667,1.311380728,1.157361256,0.365209428,1.053210836,0.2586303,1.155062532
15,3.901315789,4.151515152,3.52,3.32,3.18,3.263333333,1.053281648,0.833321767,0.66664437,1.013751601,0.418150091,1.259341903
16,2.328947368,2.593984962,2.963333333,2.883333333,3.01,2.946666667,1.222180853,1.249470154,0.568388753,0.97273305,0.341989067,0.941688988
17,3.921052632,3.879699248,3.28,3.453333333,3.673333333,3.443333333,1.226238073,1.461825312,0.596758244,1.196911671,0.928887324,1.269709717
18,3.796052632,4.181818182,3.426666667,3.12,3.116666667,3.29,1.06937387,1.010012333,0.757099435,1.170541423,0.443898308,1.184868365
19,3.164473684,2.563909774,3.023333333,3.09,3.073333333,3.233333333,1.241896003,1.361557617,0.458427831,0.985802222,0.339124718,0.895299256
20,4.013157895,4.135338346,3.603333333,3.426666667,3.386666667,3.28,1.035699476,1.113157908,0.935721185,1.305233441,0.662282126,1.067112504
21,2.710526316,3.195488722,2.876666667,2.656666667,2.996666667,3.01,1.320403204,1.384211003,0.62937211,1.011037195,0.404806683,1.143499879
22,4.197368421,4.383458647,3.86,3.733333333,3.323333333,3.446666667,0.920980428,1.07817048,0.84227753,1.235845163,0.683382955,1.261928591
23,3.355263158,3.857142857,3.076666667,2.826666667,3.063333333,2.993333333,1.329282507,1.332250643,0.47420649,1.189399481,0.364827657,1.185174114
24,2.440789474,1.586466165,2.52,2.53,2.876666667,2.553333333,1.259315238,0.789397733,0.803170973,1.160570152,0.471376929,1.308764725
25,3.901315789,4.22556391,3.103333333,2.573333333,3.136666667,3.16,1.189133295,1.091402638,0.490023092,1.129398376,0.372089223,1.103839453
26,3.223684211,3.481203008,3.49,2.983333333,3.203333333,3.07,1.372373438,1.469907767,0.786529569,1.122760374,0.562473832,1.014163906
27,3.730263158,4.120300752,3.27,3.696666667,3.006666667,3.293333333,1.212355786,1.080387094,0.592963195,1.096355572,0.141500164,1.162667137
28,3.690789474,4.112781955,3.4,3.44,3.053333333,3.063333333,1.12310799,1.084701714,0.554700196,0.845843665,0.361836022,1.190537759
