Item content,normal_human.mean,old_people.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean
Sociability,2.65,3.05,2.91,2.84,3.04,2.93,3.04,2.89
Assertiveness,2.97,3.27,3.15,3,3.05,2.99,3.33,2.88
Energy Level,3.35,3.72,3.4,2.93,3.29,3.09,3.88,2.95
Compassion,4.02,4.22,3.69,3.61,3.43,3.39,4.16,3.36
Respectfulness,4.29,4.44,4.29,3.99,3.23,3.48,4.39,3.63
Trust,3.31,3.78,3.33,3.45,3.02,3.17,3.78,3.32
Organization,3.86,4.15,3.66,3.36,3.17,3.33,3.24,2.94
Productiveness,3.86,4.23,3.81,3.43,3.28,3.29,3.85,3.23
Responsibility,3.96,4.28,3.67,3.49,3.13,3.23,3.52,3.13
Anxiety,3.15,2.47,2.81,2.8,3.04,2.99,2.96,2.89
Depression,2.51,1.92,2.58,2.71,2.93,2.78,2.2,2.59
Emotional Volatility,2.44,1.93,2.74,2.62,2.98,2.65,2.61,2.76
Intellectual Curiosity,4.05,4.24,3.52,3.11,3.2,3.26,3.51,3.09
Aesthetic Sensitivity,3.89,4.06,3.45,3.24,3.29,3.2,3.47,3.01
Creative Imagination,3.96,4.22,3.32,3.22,3.46,3.33,3.73,3.16
