Item content,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd
Sociability,1.08,1.05,0.51,0.84,0.39,0.87
Assertiveness,1.01,1,0.32,0.75,0.25,0.95
Energy Level,0.98,0.98,0.53,0.97,0.47,0.98
Compassion,0.87,0.77,0.45,0.92,0.59,1.15
Respectfulness,0.7,0.65,0.45,0.96,0.43,1.16
Trust,0.95,0.86,0.33,0.9,0.17,1.09
Organization,0.96,0.89,0.5,0.86,0.34,0.96
Productiveness,0.95,0.79,0.5,0.97,0.47,1.12
Responsibility,0.74,0.77,0.51,0.88,0.36,1.14
Anxiety,1.15,1.07,0.41,0.8,0.29,0.76
Depression,1.16,0.95,0.48,0.89,0.31,1.04
Emotional Volatility,1.04,0.86,0.4,0.76,0.23,0.94
Intellectual Curiosity,0.77,0.83,0.34,0.78,0.33,1.01
Aesthetic Sensitivity,0.87,0.89,0.49,0.88,0.45,0.88
Creative Imagination,0.83,0.78,0.35,0.73,0.49,1.06
