Item content,normal_human.mean,old_people.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean
"I am someone who Is outgoing, sociable",3.03,3.65,2.86,2.61,3.14,2.87,2.77,2.45
"I am someone who Is compassionate, has a soft heart",4.34,4.51,4.12,3.53,3.19,3.22,3.87,3.17
I am someone who Tends to be disorganized,3.62,4.13,3.46,3.29,3.03,3.16,3.77,3.31
"I am someone who Is relaxed, handles stress well",2.56,2.05,2.55,2.75,2.99,2.98,2.94,3.32
I am someone who Has few artistic interests,3.68,3.85,3,3,3.48,3.14,3.8,2.92
I am someone who Has an assertive personality,2.96,3.2,3.2,3.22,3.03,3.13,3.07,2.81
"I am someone who Is respectful, treats others with respect",4.62,4.64,4.92,4.48,3.34,3.72,4.43,3.62
I am someone who Tends to be lazy,3.62,4.27,3.77,3.33,3.36,3.26,4.23,3.44
I am someone who Stays optimistic after experiencing a setback,2.44,1.96,2.12,2.56,2.87,2.83,2.29,2.92
I am someone who Is curious about many different things,4.43,4.52,4.21,3.79,3.36,3.25,3.71,3.15
I am someone who Rarely feels excited or eager,3.54,4.06,3.13,2.8,3.39,3.06,4.18,2.99
I am someone who Tends to find fault with others,3.34,3.85,3.53,3.43,3.03,3.24,4.31,3.46
"I am someone who Is dependable, steady",4.33,4.44,3.83,3.2,3.25,3.4,3.7,3.11
"I am someone who Is moody, has up and down mood swings",2.56,1.99,2.98,2.97,3,2.82,2.52,2.6
"I am someone who Is inventive, finds clever ways to do things",3.9,4.16,3.52,3.32,3.18,3.26,3.24,2.91
I am someone who Tends to be quiet,2.35,2.59,2.97,2.88,3.01,2.95,3.44,3.25
I am someone who Feels little sympathy for others,3.71,3.9,3.28,3.45,3.67,3.44,4.47,3.54
"I am someone who Is systematic, likes to keep things in order",3.96,4.15,3.42,3.12,3.12,3.29,2.46,2.59
I am someone who Can be tense,3.29,2.63,3.02,3.09,3.07,3.23,3.18,3.04
"I am someone who Is fascinated by art, music, or literature",4.06,4.17,3.61,3.43,3.39,3.28,2.99,2.9
"I am someone who Is dominant, acts as a leader",2.9,3.19,2.88,2.66,3,3.01,2.46,2.53
I am someone who Starts arguments with others,4.23,4.39,3.86,3.73,3.32,3.45,4.56,3.7
I am someone who Has difficulty getting started on tasks,3.31,3.82,3.08,2.83,3.06,2.99,3.85,3.23
"I am someone who Feels secure, comfortable with self",2.26,1.6,2.52,2.53,2.88,2.55,2.24,2.65
"I am someone who Avoids intellectual, philosophical discussions",3.93,4.19,3.1,2.57,3.14,3.16,3.36,3.13
I am someone who Is less active than other people,3.35,3.47,3.49,2.98,3.2,3.07,3.86,3.14
I am someone who Has a forgiving nature,3.78,4.08,3.27,3.7,3.01,3.29,3.48,3.28
I am someone who Can be somewhat careless,3.56,4.08,3.4,3.44,3.05,3.06,3.19,3
"I am someone who Is emotionally stable, not easily upset",2.44,1.86,2.61,2.29,2.94,2.68,2.66,2.87
I am someone who Has little creativity,3.95,4.1,3.17,3.13,3.78,3.39,4.36,3.42
"I am someone who Is sometimes shy, introverted",2.35,2.78,2.98,2.95,2.98,2.88,3.43,3.34
I am someone who Is helpful and unselfish with others,4.18,4.32,4.15,3.78,3.14,3.47,3.88,3.24
I am someone who Keeps things neat and tidy,3.72,3.94,3.45,3.33,3,3.43,2.47,2.63
I am someone who Worries a lot,3.3,2.44,2.63,2.87,3.03,3.01,2.59,2.5
I am someone who Values art and beauty,4.16,4.35,3.55,3.39,3.26,3.34,3.23,3.06
I am someone who Finds it hard to influence people,3.09,3.45,3.01,2.78,3,2.6,3.44,2.99
I am someone who Is sometimes rude to others,3.79,4.1,3.8,3.9,3.11,3.32,4.43,3.63
"I am someone who Is efficient, gets things done",4.23,4.38,3.97,3.77,3.33,3.44,3.45,3.12
I am someone who Often feels sad,2.71,2.06,2.8,2.87,2.99,2.91,2.27,2.42
