"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
38,43,42,36,45
36,36,37,36,37
36,40,38,36,42
39,37,37,33,37
36,36,36,36,36
36,39,44,34,41
41,40,44,34,47
36,36,36,36,39
41,41,42,32,45
36,36,36,36,37
40,27,26,39,36
38,38,39,42,36
36,41,36,36,34
54,34,33,47,51
36,36,38,36,36
38,45,42,35,41
38,41,40,35,48
36,44,43,33,42
38,48,39,34,44
26,38,36,51,37
36,37,36,36,36
44,49,39,36,37
40,36,42,36,38
42,43,41,36,43
36,38,51,36,36
44,37,43,33,37
39,45,39,35,43
36,36,36,36,36
26,38,36,37,37
38,39,41,33,42
36,36,36,35,37
36,32,35,36,37
42,41,49,34,40
36,36,36,36,36
38,38,40,36,36
37,36,41,36,44
43,42,39,35,42
42,49,42,23,46
36,36,36,36,39
38,50,47,34,44
41,43,45,35,37
44,39,40,33,42
39,36,37,36,41
36,35,37,34,51
40,37,43,36,44
36,43,42,33,39
36,36,36,36,39
39,40,38,36,48
31,36,30,37,36
35,36,36,36,36
36,36,36,36,38
36,36,37,36,36
36,40,36,36,36
36,36,36,36,36
39,46,48,33,43
36,36,36,36,37
42,40,42,36,52
36,36,36,36,36
42,49,44,34,42
43,36,41,34,37
36,36,36,36,38
37,36,36,36,39
42,36,38,35,36
38,36,36,36,44
36,36,35,36,36
36,36,36,36,36
39,40,43,35,44
36,36,36,36,39
32,35,36,39,35
36,37,43,34,36
38,36,36,36,39
36,40,36,36,45
41,42,41,35,41
36,36,36,36,36
39,36,39,35,41
36,36,36,36,36
39,36,38,36,38
38,42,37,38,51
39,38,38,36,38
38,41,39,36,38
40,48,46,34,42
39,43,53,36,36
33,36,26,38,36
36,36,37,36,36
37,44,42,34,40
37,36,33,37,37
36,37,36,36,39
36,38,38,36,46
35,36,36,37,36
36,36,34,36,38
39,47,45,31,43
36,40,36,36,36
40,38,37,34,38
37,44,43,35,47
36,36,40,36,36
36,36,39,36,35
36,36,36,36,36
39,40,36,36,36
