"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
41,47,47,24,47
44,49,41,28,39
40,56,50,24,47
57,48,41,28,41
32,56,47,25,35
42,57,54,28,52
45,54,45,25,54
34,51,34,37,42
42,50,46,35,50
35,51,34,38,42
50,12,13,45,23
44,34,37,55,27
22,55,48,22,24
60,16,21,55,55
29,41,38,26,31
47,57,49,29,54
45,54,46,37,55
34,53,52,26,47
38,57,45,22,51
15,45,40,56,37
31,53,45,35,34
48,59,44,22,35
44,51,51,28,41
49,54,45,21,49
48,53,60,20,45
54,38,40,23,25
45,57,43,25,49
35,55,44,24,36
17,43,34,49,37
41,48,43,31,44
50,35,27,38,45
48,25,27,48,48
49,55,53,28,30
33,52,42,27,39
51,53,53,19,41
47,53,55,24,54
49,58,49,18,44
47,59,46,16,51
35,50,46,39,52
44,56,54,30,47
47,57,51,19,27
59,41,35,33,36
52,50,45,27,53
47,55,45,46,55
47,45,49,27,45
39,56,53,30,48
34,48,42,26,39
45,55,42,38,54
16,29,12,44,15
24,54,43,25,32
29,51,46,30,40
39,41,43,48,33
37,55,48,29,44
44,53,47,25,41
47,57,55,30,51
38,46,29,50,35
47,47,46,33,51
48,51,43,26,43
42,58,50,19,45
57,47,49,27,42
53,49,42,32,28
45,56,42,29,53
60,30,44,24,53
54,50,46,25,55
30,56,41,26,30
26,52,39,37,42
48,49,52,25,45
44,44,40,32,45
25,30,29,47,32
43,49,49,26,38
54,52,45,21,50
32,50,27,30,51
53,54,54,50,54
33,40,40,34,43
48,59,50,19,55
42,50,43,30,32
50,47,54,27,43
47,50,40,39,57
51,53,51,28,29
38,55,47,21,43
45,58,55,24,48
52,53,59,21,29
23,45,14,48,38
49,50,49,22,41
38,55,49,26,46
36,42,17,54,49
38,40,26,53,48
43,53,49,20,54
34,48,44,41,44
44,42,24,44,50
44,58,51,21,47
45,52,39,24,21
45,54,46,30,33
34,56,53,28,55
44,47,43,27,36
38,54,49,27,43
40,51,44,25,35
37,55,45,26,37
39,46,44,32,35
50,51,46,24,29
40,53,48,25,41
28,47,39,27,33
42,22,17,41,39
35,57,53,24,39
34,55,42,49,60
45,49,39,37,53
29,57,49,24,45
32,53,50,31,39
32,47,25,37,40
51,20,36,45,17
59,60,42,17,49
43,60,49,14,49
38,53,46,28,44
34,52,42,21,43
49,53,37,24,31
25,41,34,44,51
33,55,41,26,48
60,60,52,29,48
50,57,55,21,43
52,58,38,24,47
29,42,45,32,30
48,47,43,26,47
31,48,45,30,33
42,59,50,25,55
28,56,43,44,54
44,55,43,26,51
47,57,46,25,55
47,48,41,30,55
27,47,40,31,29
52,57,53,22,54
47,55,47,22,51
43,56,53,28,41
47,43,51,28,49
36,46,59,23,45
46,36,29,37,33
28,47,35,30,35
32,50,34,35,48
31,56,58,32,38
56,54,54,18,57
51,53,46,32,33
45,39,42,30,40
34,55,44,26,49
38,52,46,30,46
24,41,36,40,25
47,50,47,22,44
38,47,50,27,37
47,41,42,47,47
46,53,53,26,44
44,52,49,35,50
43,51,50,32,41
38,57,50,29,45
22,34,12,43,25
52,20,33,20,29
49,59,48,23,48
50,53,45,22,23
50,54,33,28,50
46,56,46,25,58
40,56,49,32,37
23,42,21,46,49
58,52,45,23,52
24,39,18,58,44
60,48,49,23,33
29,50,24,34,49
36,53,38,35,50
49,50,33,31,51
54,41,44,27,27
16,57,47,45,44
52,55,54,49,54
32,30,33,38,42
42,53,42,25,45
37,46,40,32,53
42,56,46,26,35
44,59,53,24,42
40,50,39,24,41
29,53,43,32,46
22,37,19,48,51
51,32,24,50,51
20,57,34,53,26
56,59,55,21,31
41,49,52,21,42
41,36,20,55,51
45,49,25,23,14
17,39,22,58,21
33,51,40,26,38
28,45,26,46,43
42,56,45,23,42
43,54,43,31,54
28,57,37,51,41
54,57,37,35,58
41,56,60,19,32
43,48,40,25,45
60,39,33,28,48
55,46,42,27,36
38,50,44,32,35
23,35,36,51,44
42,44,44,31,30
17,34,26,41,26
47,49,42,36,47
44,24,25,42,35
49,55,47,26,58
35,48,50,27,27
33,54,47,28,47
27,45,36,39,49
43,58,54,29,38
50,38,38,31,28
44,43,45,43,36
47,43,49,30,50
55,54,41,27,54
57,51,46,23,59
29,44,22,39,31
50,51,46,24,47
42,54,50,25,47
45,56,45,23,47
33,51,42,26,38
40,46,43,31,33
34,55,46,24,55
28,46,34,38,25
37,52,34,32,56
47,53,47,21,51
45,55,45,20,29
35,47,33,31,46
49,52,41,21,47
23,34,43,47,42
36,52,44,27,43
43,51,53,26,56
24,40,34,25,34
44,51,42,29,53
38,57,53,22,39
54,38,43,24,53
51,59,50,25,54
39,18,22,60,28
39,54,50,26,44
43,49,45,22,28
45,54,40,24,31
45,55,44,27,51
45,56,44,24,42
33,52,44,24,40
30,46,42,52,40
32,57,54,21,47
44,43,38,30,52
42,58,50,22,57
40,42,50,37,45
49,59,34,31,59
34,55,52,22,36
48,48,33,42,53
48,56,40,38,42
45,53,41,44,57
41,32,38,52,38
43,49,48,31,39
43,54,54,21,47
36,50,40,37,40
28,45,33,32,42
40,51,32,39,51
19,54,38,37,34
51,47,42,25,37
44,49,47,26,52
56,57,42,32,53
45,48,43,54,57
53,54,51,23,52
19,30,18,60,27
53,57,57,18,49
32,52,50,26,33
49,57,57,19,45
29,57,55,40,34
42,56,47,25,54
44,52,49,33,50
38,49,43,43,44
43,48,44,23,46
29,37,34,50,52
55,55,47,23,45
39,52,45,24,39
37,55,40,22,49
22,40,24,33,21
51,35,25,28,55
52,57,47,27,47
32,40,14,44,51
30,47,30,37,41
43,58,52,25,44
32,54,43,40,51
56,56,56,22,55
40,56,52,27,56
45,57,50,22,46
40,49,44,29,26
50,29,28,22,36
44,48,45,30,54
53,57,47,25,51
41,50,56,31,38
60,49,47,25,41
44,52,35,48,24
32,49,45,35,47
42,54,42,20,45
32,55,39,28,51
54,59,41,20,54
30,50,49,45,46
34,50,46,35,37
45,50,49,32,39
31,47,35,46,46
33,57,52,23,41
44,49,47,24,42
42,45,45,26,28
