"Sociability","Assertiveness","Energy_Level","Compassion","Respectfulness","Trust","Organization","Productiveness","Responsibility","Anxiety","Depression","Emotional_Volatility","Intellectual_Curiosity","Aesthetic_Sensitivity","Creative_Imagination"
20,20,20,20,19,20,13,20,13,9,4,9,19,20,20
8,9,14,20,20,20,13,16,20,10,10,8,17,18,13
14,12,14,20,20,20,16,17,16,5,4,4,15,16,16
20,18,20,19,20,20,13,19,10,9,4,10,18,18,20
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
15,9,9,10,8,14,4,4,4,14,16,17,11,11,14
6,6,5,6,7,6,6,6,6,20,20,20,9,8,7
8,8,14,20,20,20,16,16,18,8,8,7,16,17,15
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,15,18,19,19,17,13,15,14,12,8,12,20,20,20
10,8,8,11,12,10,8,10,11,15,16,15,7,7,8
20,8,17,9,5,17,4,4,4,11,15,20,11,14,16
4,4,4,6,11,7,10,4,12,19,20,14,5,5,5
4,4,5,9,14,9,9,6,10,18,19,15,8,9,6
11,18,7,4,4,4,5,8,5,13,10,19,6,5,11
12,12,15,18,20,18,15,16,16,9,8,8,16,16,15
12,13,13,17,20,17,20,20,20,8,6,4,16,13,12
12,7,8,13,11,13,4,5,5,14,16,16,10,11,9
16,14,18,16,20,16,13,11,10,9,8,13,20,20,20
10,10,8,8,13,6,13,12,14,14,8,8,4,4,4
11,20,6,4,4,4,5,12,9,16,13,13,8,4,13
4,5,4,11,17,12,8,4,13,12,16,12,8,9,6
14,7,6,9,9,14,4,4,5,9,15,17,8,9,10
13,11,15,20,20,20,18,19,19,4,4,4,17,15,16
14,8,15,8,7,6,5,9,4,20,19,20,14,8,14
14,14,16,20,20,20,16,17,14,4,4,4,15,14,14
17,8,16,13,8,14,4,6,4,16,16,18,14,11,15
8,10,9,10,11,9,12,10,13,13,12,9,9,9,6
15,11,12,18,20,20,13,17,16,4,4,4,15,14,16
13,9,14,20,20,16,14,12,9,14,8,13,20,20,16
13,11,15,20,20,20,17,18,20,8,5,6,18,17,14
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,20,12,6,8,5,7,16,8,12,9,14,11,12,16
8,8,6,10,10,8,8,10,8,19,17,17,12,9,9
8,7,8,20,20,20,18,19,20,4,4,4,15,15,15
12,15,17,17,18,15,18,17,16,8,7,7,17,14,16
10,7,7,14,14,14,6,7,8,16,15,16,8,12,9
6,5,5,6,5,4,5,8,5,20,20,20,10,7,7
11,7,8,11,8,11,4,4,4,14,15,16,8,11,9
10,10,13,20,20,20,17,17,18,9,5,5,13,17,16
18,14,19,20,20,20,14,16,16,4,4,4,17,16,16
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
15,5,19,20,20,20,16,19,20,5,5,5,20,16,15
4,4,4,7,13,7,7,4,9,19,20,15,6,7,6
11,15,9,6,7,6,8,13,14,14,11,12,16,7,18
14,13,10,15,20,16,14,13,9,10,6,15,20,20,12
14,11,15,20,20,20,14,17,19,8,5,6,18,17,15
12,20,9,4,5,4,14,17,12,14,8,7,8,4,16
16,16,18,19,18,16,12,17,12,9,7,10,16,16,16
15,8,13,11,8,14,4,6,6,15,15,16,11,12,13
13,20,18,19,20,17,20,20,20,10,4,4,20,17,19
8,9,6,5,11,4,20,14,19,13,10,5,4,4,4
8,6,8,6,11,6,11,11,12,14,15,13,4,4,4
8,9,15,20,20,20,14,16,19,8,6,6,16,16,14
9,11,16,14,18,16,10,12,7,14,7,17,17,20,18
12,20,8,4,4,4,5,5,4,12,10,19,6,4,8
12,14,11,19,20,20,18,17,17,5,4,4,16,15,16
15,6,11,14,12,16,4,4,8,11,17,20,9,17,17
8,13,16,20,20,20,13,11,8,15,9,16,20,20,20
16,13,15,6,8,10,15,18,10,14,13,12,16,11,20
11,7,10,12,8,11,4,5,4,17,15,17,9,12,10
10,10,13,19,20,17,14,12,14,14,6,10,20,20,15
9,20,16,4,4,4,8,17,12,12,8,4,12,4,16
10,10,15,19,19,16,12,14,15,13,8,13,18,20,18
9,12,8,8,13,6,15,14,18,11,10,8,4,4,4
20,20,20,20,20,20,16,20,18,5,4,5,19,20,20
12,15,15,17,18,14,18,17,16,12,8,7,15,12,13
14,14,17,20,20,20,18,19,18,4,4,4,17,16,16
11,9,8,14,14,14,6,8,8,14,14,14,11,12,10
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,18,17,19,20,18,20,20,20,8,4,4,18,16,15
6,6,6,8,14,8,8,8,10,16,16,14,10,8,6
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
20,20,20,20,16,20,13,20,10,9,4,15,20,20,20
12,19,6,4,4,4,4,6,4,12,13,18,7,4,7
8,11,7,5,15,6,19,14,17,14,10,4,4,4,4
15,17,16,20,20,20,18,18,18,4,4,4,16,14,16
20,20,20,19,20,19,13,18,10,6,4,9,17,18,20
14,12,16,18,18,16,10,13,12,10,8,15,17,19,17
20,20,20,20,20,20,13,20,17,4,4,12,17,20,20
12,12,15,20,20,20,14,17,20,9,6,6,17,17,14
18,17,20,18,17,16,12,17,10,12,8,11,18,16,16
13,14,16,18,18,18,16,16,17,11,8,10,20,20,19
4,4,4,10,18,9,14,5,16,20,18,14,6,8,6
13,20,9,4,4,4,8,16,4,11,8,10,4,4,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
