"Trait","normal_human","old_people","persona_GPT3.5","shape_GPT3.5","persona_GPT4","shape_GPT4","persona_LLaMA3","shape_LLaMA3"
"Sociability","0.874809135527078","0.828105171647899","0.731752247472435","0.843754250437424","0.856467258746206","0.897467874385566","0.861734428957208","0.766014188988085"
"Assertiveness","0.81018541749777","0.788602069675816","0.291766773294526","0.635878058913134","0.678263040246905","0.868990449580688","0.796000352821214","0.858768808135363"
"Energy Level","0.732496418334354","0.777496080574249","0.670656819780339","0.89687962625581","0.771390328872732","0.897199817101052","0.857031922083374","0.871690844268256"
"Compassion","0.667237037774467","0.673178157198196","0.477029859227511","0.827217484286571","0.783389739457427","0.922041311226666","0.865253426405669","0.93361193288785"
"Respectfulness","0.736226209398105","0.739398614599698","0.369735991022186","0.862421756678704","0.761697827055667","0.928651705917725","0.849160060544117","0.927407759725327"
"Trust","0.79510523307003","0.708747485504674","0.435107259173785","0.847478319404759","0.686999740179192","0.965416278347313","0.793221864294115","0.943400496169266"
"Organization","0.866336892346413","0.836907533733644","0.576960480270765","0.702018457039563","0.591807741454162","0.853508187661026","0.804872554817906","0.8247183851947"
"Productiveness","0.801219926443021","0.762001634413089","0.677340688987141","0.832020772614481","0.774797493265419","0.920107143224676","0.848948950903922","0.895019455164405"
"Responsibility","0.769422314275576","0.784761289512171","0.688160401870778","0.811815565097767","0.776239093055942","0.900452588901391","0.879328163788216","0.864042727783136"
"Anxiety","0.839884624767917","0.819493221555077","0.575463540087374","0.676436454724602","0.807997264957265","0.787963758683928","0.812472962104687","0.79431766396747"
"Depression","0.860945736614908","0.853310387171661","0.569238794590907","0.787614537073472","0.744796467108982","0.900667273278738","0.882761186690318","0.913860860076479"
"Emotional Volatility","0.8854509551495","0.784333956707723","0.588413913701026","0.731903578714038","0.707895151310608","0.880816893030633","0.889268771145364","0.880268403622918"
"Intellectual Curiosity","0.749350556981306","0.799594305394838","0.229124269147527","0.771627079638665","0.695722428811682","0.899049705791409","0.848627154859579","0.887794510473097"
"Aesthetic Sensitivity","0.830146056032682","0.739851482962924","0.536453399757536","0.819730562129286","0.807880554943023","0.917403799900572","0.828383037479737","0.925576197717882"
"Creative Imagination","0.823885383574199","0.819576608012116","0.448069776260903","0.764974115883026","0.683399168035795","0.915299474185217","0.822037722382073","0.885103259435207"
