"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12","item13","item14","item15","item16","item17","item18","item19","item20","item21","item22","item23","item24","item25","item26","item27","item28","item29","item30","item31","item32","item33","item34","item35","item36","item37","item38","item39","item40","item41","item42","item43","item44","item45","item46","item47","item48","item49","item50","item51","item52","item53","item54","item55","item56","item57","item58","item59","item60","NA","NA","NA","NA","NA"
3,3,4,4,3,3,5,4,3,4,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,5,5,3,3,3,3,4,3,3,37,43,46,37,38
1,5,4,1,3,2,5,4,2,5,4,4,4,1,4,2,4,3,2,3,3,5,3,2,3,4,4,4,1,3,1,3,3,2,3,4,4,3,2,3,3,4,3,3,4,2,5,5,2,4,4,3,5,3,3,5,2,4,2,3,35,48,45,23,41
1,1,3,4,3,4,4,2,3,3,3,4,2,3,3,3,3,2,4,4,3,5,3,2,3,3,3,3,3,3,3,3,2,2,2,3,4,3,3,5,2,3,3,3,3,2,3,5,3,4,5,2,3,3,3,4,2,3,3,3,36,37,34,36,39
2,5,4,2,3,2,5,4,2,5,4,3,4,3,3,3,3,4,2,3,3,5,4,3,3,4,3,4,3,3,3,5,4,2,3,3,5,4,2,3,4,3,5,3,3,2,3,4,4,4,4,5,4,2,3,4,4,5,3,3,38,49,50,31,39
3,5,4,3,3,3,5,4,4,5,3,3,3,3,4,3,4,2,3,5,3,3,3,3,3,3,3,3,3,3,3,4,3,2,5,3,5,3,4,5,3,3,3,4,3,3,3,4,3,3,4,5,5,3,3,4,3,4,3,5,38,46,41,38,47
3,5,3,2,3,3,5,3,3,5,3,3,4,3,4,3,3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,5,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,5,4,3,3,4,3,3,3,4,37,44,42,34,44
3,4,3,2,3,3,5,4,2,5,3,4,4,3,3,2,3,4,3,5,3,3,3,3,4,3,4,3,2,3,3,4,4,3,4,3,5,5,3,4,3,3,4,3,3,2,3,5,3,4,4,5,5,3,3,4,4,4,3,3,36,47,48,33,44
1,4,4,3,3,3,5,4,3,4,3,4,4,3,3,2,3,4,4,3,2,4,3,2,3,3,4,4,2,3,2,4,4,4,3,3,4,4,2,4,3,4,4,2,3,2,3,4,4,3,3,4,4,3,3,3,4,4,3,3,30,47,47,35,38
2,4,2,3,3,3,5,1,3,3,3,4,3,3,3,3,4,3,3,4,3,4,2,3,3,2,3,3,3,3,3,4,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,33,44,32,35,38
4,4,3,2,3,4,5,4,2,3,2,4,5,3,4,3,3,3,4,2,4,5,3,2,2,2,4,4,1,3,3,4,3,3,2,3,3,5,2,4,4,4,5,2,3,3,3,3,1,4,3,4,5,3,2,4,3,4,3,4,39,46,47,28,36
4,4,1,1,3,4,5,1,1,4,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,5,5,1,3,3,3,4,3,1,3,3,1,4,3,3,4,3,3,1,3,3,1,5,1,4,3,5,4,3,3,5,4,1,3,4,43,39,32,25,39
3,5,4,2,4,3,5,4,1,5,4,3,4,1,4,3,3,3,2,5,3,1,4,1,3,4,4,4,2,4,3,5,4,3,5,3,3,3,1,3,3,3,5,3,3,3,5,5,1,4,5,5,5,1,3,5,4,5,3,3,42,46,50,21,46
2,4,4,2,3,3,5,4,1,5,3,3,4,3,4,3,3,4,3,3,2,3,4,3,3,4,3,4,3,3,3,4,3,3,3,3,5,4,3,4,3,3,4,3,3,3,3,5,3,4,4,4,5,3,3,4,3,3,3,4,37,43,48,33,42
3,5,3,3,3,3,5,3,2,5,3,4,4,3,3,3,3,4,3,5,3,5,3,2,3,4,3,3,3,3,3,5,4,3,4,3,5,4,3,3,4,3,4,3,3,3,3,5,3,3,3,5,5,3,3,4,4,3,3,3,39,50,45,34,41
5,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,1,3,3,3,3,3,3,3,5,4,3,2,3,3,5,3,3,4,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,4,3,3,3,39,46,41,34,34
1,4,4,3,3,3,5,3,2,3,3,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,5,3,4,3,4,5,3,3,3,3,5,3,3,34,41,43,35,42
3,5,3,2,3,3,5,4,2,5,3,4,5,3,3,3,3,4,3,4,3,4,3,1,3,3,3,3,2,3,2,4,4,3,4,3,5,3,3,4,2,3,4,3,3,3,3,3,3,4,4,5,3,3,3,4,4,3,3,3,36,48,42,31,42
3,5,3,3,3,3,5,3,3,3,3,4,3,3,3,3,4,4,3,5,5,3,3,3,3,3,3,3,2,3,3,5,3,3,5,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,38,46,39,35,41
4,5,3,2,3,4,5,5,1,5,2,3,5,3,4,3,5,4,3,3,4,5,3,2,3,4,4,4,1,3,3,5,4,2,3,3,5,5,3,4,4,4,5,2,3,3,5,1,2,3,3,5,5,3,3,4,4,5,2,4,41,55,49,26,41
5,5,3,2,3,3,5,3,1,5,3,3,3,3,3,5,3,4,3,3,3,3,3,3,4,3,3,3,3,3,5,5,4,3,4,3,5,3,3,3,4,5,5,3,3,5,3,3,2,5,5,5,4,3,3,5,5,3,3,5,49,50,41,32,44
1,3,3,3,3,3,5,3,3,3,3,4,5,3,4,3,4,4,3,3,2,5,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,4,3,5,2,3,5,3,3,2,3,5,3,3,3,3,5,3,2,2,3,3,2,3,30,42,47,35,37
3,3,4,2,3,3,5,4,2,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,5,3,3,2,5,40,39,40,32,42
3,4,3,3,3,3,5,4,3,4,3,4,4,3,3,3,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,4,3,3,4,2,3,3,4,5,3,3,3,5,5,3,3,3,3,3,2,3,36,46,46,34,38
4,5,3,2,3,3,5,4,2,5,3,3,4,3,4,3,3,4,3,5,3,3,4,2,3,3,4,4,2,4,3,5,4,3,4,3,5,5,3,4,4,3,5,3,3,4,3,3,3,2,3,5,5,3,3,4,4,5,3,4,40,48,50,32,44
3,5,3,4,3,3,5,4,2,4,3,3,4,3,4,3,3,4,3,4,3,4,2,3,3,2,3,3,3,3,3,4,3,3,5,3,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,5,4,3,3,3,3,3,3,4,35,44,40,36,43
4,5,3,2,3,3,5,4,2,5,3,3,4,3,3,3,3,3,3,5,3,4,3,2,3,4,3,3,3,3,3,4,4,2,5,3,5,3,3,4,4,3,4,3,3,3,3,5,3,4,4,5,4,3,3,4,4,3,3,3,41,47,43,32,44
3,5,4,2,4,4,5,4,2,5,3,4,4,3,4,3,3,4,3,5,2,4,4,2,3,4,3,4,1,4,3,5,4,2,5,3,5,4,3,4,4,3,4,2,3,3,3,5,3,4,4,5,5,3,3,5,4,3,2,4,41,49,49,28,48
3,4,3,2,2,3,5,3,2,5,3,3,4,3,4,3,3,4,3,5,3,3,3,4,3,3,3,3,3,3,3,4,4,2,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,5,3,3,3,4,3,3,4,36,42,43,34,43
3,5,4,3,3,3,5,3,3,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,3,3,4,3,3,3,3,4,3,4,3,5,4,3,3,3,3,3,3,3,36,44,41,35,40
4,5,4,2,4,4,5,4,1,5,2,3,4,3,4,4,3,4,3,5,3,4,4,2,3,4,4,3,2,4,4,5,4,3,4,3,3,5,3,4,3,3,4,2,3,3,3,5,3,4,4,5,5,3,3,4,4,3,3,4,42,47,49,30,47
4,5,4,2,3,3,5,4,2,5,3,4,4,3,4,3,3,4,3,3,3,3,3,2,3,4,4,3,2,3,3,5,4,2,5,3,5,4,3,4,4,3,4,2,3,3,3,5,3,3,3,5,5,3,3,4,4,3,2,4,40,49,47,29,43
3,4,4,2,3,4,5,4,1,5,4,4,4,3,4,4,3,4,2,3,2,4,4,2,3,4,3,4,2,4,4,4,4,2,3,4,4,4,2,4,4,3,5,2,3,2,4,4,3,4,4,4,5,2,2,4,4,4,2,2,43,46,50,25,40
2,3,4,4,4,4,5,4,1,5,4,4,4,3,5,4,4,4,2,3,3,4,4,3,3,4,3,4,1,4,4,4,4,2,2,3,3,5,2,5,4,3,5,2,4,2,3,3,3,4,4,4,5,3,4,4,3,4,2,5,42,43,50,28,48
2,3,4,3,4,3,5,5,2,5,3,3,4,3,5,3,3,5,3,1,2,3,3,3,1,3,3,4,2,3,2,3,4,3,2,4,3,5,3,5,2,3,5,1,2,1,3,5,2,3,5,4,5,3,3,4,3,3,1,4,34,39,52,29,38
