"item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12","item13","item14","item15","item16","item17","item18","item19","item20","item21","item22","item23","item24","item25","item26","item27","item28","item29","item30","item31","item32","item33","item34","item35","item36","item37","item38","item39","item40","item41","item42","item43","item44","item45","item46","item47","item48","item49","item50","item51","item52","item53","item54","item55","item56","item57","item58","item59","item60","NA","NA","NA","NA","NA"
3,3,3,3,5,3,5,3,3,5,4,3,4,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,4,3,3,3,3,4,3,5,3,5,5,3,3,3,4,4,3,3,4,3,3,3,3,38,43,42,36,45
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,37,36,37
3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,36,40,38,36,42
3,3,3,2,4,3,3,3,5,3,3,3,3,3,4,3,3,3,4,1,3,3,3,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,2,3,3,3,4,2,3,4,4,3,3,4,39,37,37,33,37
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,2,3,3,3,3,2,5,3,3,4,3,4,3,3,4,3,3,3,3,4,3,3,3,3,5,3,3,3,4,4,3,3,3,3,3,3,3,36,39,44,34,41
3,3,3,3,4,3,4,5,3,5,4,3,4,3,4,3,3,4,3,4,3,3,3,2,4,4,3,3,2,4,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,3,5,4,3,3,4,4,4,3,4,4,3,3,3,4,41,40,44,34,47
3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,39
4,4,3,2,4,3,4,3,2,4,3,3,4,3,4,3,4,4,3,3,4,3,3,2,3,4,3,3,2,5,3,4,3,3,4,3,3,4,3,4,4,3,4,3,4,3,3,4,3,3,3,4,4,3,3,4,3,3,3,4,41,41,42,32,45
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,37
4,2,3,4,3,4,2,2,3,3,3,1,3,3,3,4,3,2,3,3,3,3,3,4,3,2,2,2,4,3,4,2,1,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,3,3,4,2,3,3,3,3,2,1,3,3,40,27,26,39,36
3,3,3,4,3,3,3,4,3,3,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,5,3,3,3,3,2,4,3,38,38,39,42,36
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,3,2,3,3,3,3,3,36,41,36,36,34
5,3,3,4,5,4,3,5,3,4,5,3,2,5,4,4,3,2,5,5,3,3,3,4,3,5,3,3,4,5,5,3,3,3,4,4,2,3,3,5,5,3,2,4,5,4,3,3,4,3,5,3,3,3,3,5,2,1,5,5,54,34,33,47,51
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,36,36,38,36,36
4,5,3,3,4,3,4,3,3,4,3,3,4,3,3,3,5,3,3,4,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3,3,5,5,3,3,3,4,4,3,3,4,3,3,3,3,38,45,42,35,41
3,3,3,3,5,3,3,3,3,4,3,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,2,5,3,3,3,3,4,3,3,4,3,4,3,3,4,3,5,3,5,3,3,3,4,4,4,3,3,4,3,3,3,4,38,41,40,35,48
3,4,3,3,3,3,5,3,2,4,3,3,4,3,4,3,4,4,3,3,3,3,3,2,4,3,3,3,2,4,3,4,3,3,3,3,3,4,3,4,3,3,4,3,4,3,5,5,3,3,3,4,4,3,3,3,3,3,3,3,36,44,43,33,42
3,5,3,2,4,3,5,3,2,4,4,3,3,3,3,3,5,3,3,4,3,5,3,3,4,3,3,3,3,5,3,4,3,3,3,3,3,3,3,4,3,3,4,3,4,3,5,5,3,3,3,4,3,3,3,4,3,3,3,3,38,48,39,34,44
1,3,3,5,3,3,3,3,3,3,2,3,3,4,3,2,3,3,5,3,2,5,2,4,3,2,3,3,4,3,1,3,3,5,3,3,3,3,5,4,2,3,3,3,3,2,3,3,5,3,3,3,4,5,3,3,3,3,3,3,26,38,36,51,37
3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,37,36,36,36
5,5,3,3,3,3,5,4,3,3,4,4,3,3,3,4,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,3,3,4,4,3,3,3,4,3,3,3,3,44,49,39,36,37
3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,5,3,3,3,4,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,40,36,42,36,38
5,3,3,3,4,3,5,4,3,4,3,3,3,3,4,3,5,3,3,3,3,3,3,3,3,4,3,3,3,5,3,3,3,3,4,3,3,3,3,3,5,3,4,3,3,3,5,5,3,3,3,4,4,3,3,4,3,3,3,4,42,43,41,36,43
3,3,5,3,3,3,4,4,3,3,3,3,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,4,3,3,3,3,4,3,3,3,3,5,3,3,3,4,4,3,3,3,3,3,3,3,36,38,51,36,36
4,3,3,3,3,4,4,4,2,3,3,3,4,3,3,3,3,3,3,3,4,3,3,2,3,4,3,3,2,3,4,3,3,3,3,3,3,5,3,3,4,3,4,3,4,3,3,3,3,3,4,3,5,3,3,4,3,3,3,3,44,37,43,33,37
3,4,3,3,4,3,4,4,2,4,4,3,3,3,4,3,5,3,3,4,3,4,3,3,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,5,4,3,3,3,4,4,3,3,4,3,3,3,3,39,45,39,35,43
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,4,4,2,5,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,26,38,36,37,37
3,3,3,3,3,3,4,3,2,4,3,3,4,3,4,3,3,4,3,3,3,3,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,4,3,4,2,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,4,38,39,41,33,42
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,35,37
3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,36,32,35,36,37
3,3,3,3,3,3,4,5,2,3,2,3,5,3,3,3,5,4,3,3,3,3,5,2,3,5,3,3,3,5,3,3,3,3,3,3,3,5,3,3,5,3,5,3,5,3,5,3,3,3,4,3,5,3,3,5,3,3,3,3,42,41,49,34,40
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36,36,36,36,36
3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,5,4,3,3,3,38,38,40,36,36
