"chisq","df","cfi","tli","rmsea","srmr_bentler_nomean"
"ext.normal_human",993.18904451605,51,0.892375639073141,0.860721415271124,0.108858132458039,0.0568452641436093
"ext.old_people",128.217902014514,51,0.872874970337225,0.835485255730526,0.110500201068585,0.0835008674921159
"ext.persona_GPT3.5",267.890231650437,51,0.763640106038649,0.694122490167664,0.119261238228639,0.0839095824770443
"ext.shape_GPT3.5",739.044415022057,51,0.749296270705624,0.67555987973669,0.212061838160608,0.110133786940835
"ext.persona_GPT4",379.892541993752,51,0.805196814679544,0.747901760173527,0.146615976533102,0.0993932307239391
"ext.shape_GPT4",794.074449372693,51,0.798244786042899,0.738905017231987,0.220379122140323,0.0769145653089718
"ext.persona_LLaMA3",316.714626625139,51,0.884938688475414,0.8510971262623,0.131783796653711,0.0604504755775777
"ext.shape_LLaMA3",934.002138414012,51,0.684448123865654,0.591638748532023,0.241444637957147,0.131789460685259
"agr.normal_human",904.6404964041,51,0.874512650948478,0.837604607109795,0.103616605162312,0.0602881655920242
"agr.old_people",189.287707901759,51,0.757265160300742,0.685872560389196,0.14787537484882,0.0978681145706953
"agr.persona_GPT3.5",315.505844197853,51,0.691520557071687,0.600791309151595,0.131703390045818,0.119336009283682
"agr.shape_GPT3.5",493.975490777768,51,0.844090813815028,0.798235170819448,0.17015477206374,0.0779145735616246
"agr.persona_GPT4",432.44564063895,51,0.768889745295237,0.700916140970307,0.157895812558347,0.103307428645997
"agr.shape_GPT4",685.567390220648,51,0.884455722530251,0.850472111509737,0.203654100928213,0.0504862926867689
"agr.persona_LLaMA3",616.198536167651,51,0.798129077772177,0.738755277116935,0.192200626417479,0.0880049062973313
"agr.shape_LLaMA3",874.913653145434,51,0.839826764734291,0.792716989656141,0.233226307846647,0.0698006404350232
"con.normal_human",1041.78350267424,51,0.897455272467585,0.867295058487463,0.111630080434747,0.058396128649827
"con.old_people",151.384268418137,51,0.863747979467061,0.823673855780903,0.125990238632094,0.0785917893051145
"con.persona_GPT3.5",268.433676182105,51,0.828597558411644,0.778185075591539,0.11941055643344,0.100374731112829
"con.shape_GPT3.5",785.307165780383,51,0.705419663228822,0.618778387707888,0.219075175234317,0.138708297626903
"con.persona_GPT4",556.73393357174,51,0.747477166015434,0.673205744255268,0.181808980697339,0.115811914544132
"con.shape_GPT4",907.748977009092,51,0.784248278446802,0.720791889754685,0.236636145091981,0.0900512619421998
"con.persona_LLaMA3",705.359350277679,51,0.767508552064999,0.699128714437057,0.206805669616356,0.108851973234732
"con.shape_LLaMA3",1502.90125423261,51,0.64171844689603,0.53634151951251,0.309603047926605,0.196462734275516
"neu.normal_human",929.870779772199,51,0.931108228573254,0.910845942859505,0.105136706228577,0.0521314098736272
"neu.old_people",141.194647852119,51,0.901676200313218,0.872757435699459,0.11942478085174,0.0647586405499726
"neu.persona_GPT3.5",367.471929901875,51,0.661056467611226,0.561367193379234,0.144061162675809,0.118144097361855
"neu.shape_GPT3.5",868.70352978256,51,0.617897592565827,0.505514531555777,0.231181044095719,0.144405845396721
"neu.persona_GPT4",521.364121148786,51,0.754375196639836,0.682132607416259,0.175336114409612,0.130899138357039
"neu.shape_GPT4",647.972162427134,51,0.813487545613594,0.758630941382298,0.197529208963966,0.0798227885331988
"neu.persona_LLaMA3",346.207358870212,51,0.884199024734069,0.850139914361737,0.138904998538455,0.0593771369492803
"neu.shape_LLaMA3",808.305043116136,51,0.771909666988933,0.704824274926855,0.223600160914945,0.101388847157388
"ope.normal_human",909.210473549457,51,0.899371271958982,0.869774587241035,0.103893591466112,0.0637049811691098
"ope.old_people",171.022334068153,51,0.831267132690228,0.781639818775589,0.137763796785083,0.0935325535178482
"ope.persona_GPT3.5",115.21598319175,51,0.879914136977787,0.844594765500666,0.0648934533322072,0.0684100051294528
"ope.shape_GPT3.5",326.573585697697,51,0.862409720020775,0.821941990615121,0.13420635406134,0.0778356005949482
"ope.persona_GPT4",264.996939727787,51,0.846568704009737,0.801441852247896,0.118265498294234,0.0819391546290288
"ope.shape_GPT4",825.420302059705,51,0.811835113136025,0.756492499352503,0.224979345756392,0.0693683114037187
"ope.persona_LLaMA3",256.031881922805,51,0.904481772743851,0.876388176492042,0.115761723364253,0.0770123462564302
"ope.shape_LLaMA3",569.465635597676,51,0.860947019426989,0.820049083964339,0.185010627184585,0.0574001287593055
