Trait,Mean,SD,
1,Sociability,2.651539448,1.169043723
2,Assertiveness,2.974823605,1.043140171
3,Energy Level,3.345734445,0.948623804
4,Compassion,4.017158435,0.807380712
5,Respectfulness,4.286561899,0.702800638
6,Trust,3.310776139,1.003101404
7,Organization,3.861128929,1.012219759
8,Productiveness,3.860006414,0.908704483
9,Responsibility,3.962796665,0.837663327
10,Anxiety,3.148973701,1.112952785
11,Depression,2.513309814,1.137113523
12,Emotional Volatility,2.439704939,1.104339167
13,Intellectual Curiosity,4.052597819,0.82675766
14,Aesthetic Sensitivity,3.890955741,1.008814641
15,Creative Imagination,3.964079538,0.883357194
