"Trait","Mean","SD"
"1","Sociability",2.93,0.874250754229531
"2","Assertiveness",2.99333333333333,0.945393101276939
"3","Energy Level",3.0875,0.97590644769303
"4","Compassion",3.39416666666667,1.15239650202603
"5","Respectfulness",3.48083333333333,1.15818635128516
"6","Trust",3.16666666666667,1.09371366797436
"7","Organization",3.33416666666667,0.963267314205986
"8","Productiveness",3.29,1.12421656110119
"9","Responsibility",3.225,1.14034041153535
"10","Anxiety",2.99416666666667,0.76351215330846
"11","Depression",2.77666666666667,1.04423351523339
"12","Emotional Volatility",2.65416666666667,0.937302561892721
"13","Intellectual Curiosity",3.255,1.00623889927195
"14","Aesthetic Sensitivity",3.1975,0.882495369349368
"15","Creative Imagination",3.33166666666667,1.06262778758071
