"Trait","Mean","SD"
"1","Sociability",2.88552188552189,1.00081511392259
"2","Assertiveness",2.87962962962963,1.21766871196237
"3","Energy Level",2.9486531986532,1.18696390641557
"4","Compassion",3.35606060606061,1.36223694573099
"5","Respectfulness",3.62710437710438,1.33481108816778
"6","Trust",3.31734006734007,1.3420854066315
"7","Organization",2.94360269360269,1.18192016970703
"8","Productiveness",3.22979797979798,1.29105392192589
"9","Responsibility",3.12710437710438,1.25709380329585
"10","Anxiety",2.89309764309764,1.04002395724802
"11","Depression",2.58670033670034,1.26221058541179
"12","Emotional Volatility",2.75673400673401,1.25402935973989
"13","Intellectual Curiosity",3.08922558922559,1.24493639515906
"14","Aesthetic Sensitivity",3.01094276094276,1.25962770136138
"15","Creative Imagination",3.16161616161616,1.17439234466058
