Item content,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd,persona_LLaMA3.sd,shape_LLaMA3.sd
"I am someone who Is outgoing, sociable",1.4,1.24,0.91,1.14,0.65,1.08,1.31,1.37
"I am someone who Is compassionate, has a soft heart",0.9,0.8,0.91,1.17,0.51,1.21,1.12,1.44
I am someone who Tends to be disorganized,1.36,1.16,0.6,1.11,0.27,1.01,0.95,1.46
"I am someone who Is relaxed, handles stress well",1.3,1.08,0.83,1.16,0.39,1.21,1.16,1.39
I am someone who Has few artistic interests,1.33,1.3,0.58,0.84,0.68,0.95,1.31,1.32
I am someone who Has an assertive personality,1.38,1.29,0.64,1.03,0.27,1.02,1.18,1.37
"I am someone who Is respectful, treats others with respect",0.61,0.58,0.41,1.04,0.65,1.29,0.92,1.42
I am someone who Tends to be lazy,1.31,1.09,0.7,1.17,0.74,1.29,1.04,1.5
I am someone who Stays optimistic after experiencing a setback,1.24,0.99,0.95,1.47,0.44,1.28,0.98,1.54
I am someone who Is curious about many different things,0.81,0.8,0.85,1.08,0.6,1.35,1.12,1.55
I am someone who Rarely feels excited or eager,1.26,1.11,0.4,1.1,0.7,1.15,0.75,1.41
I am someone who Tends to find fault with others,1.32,1.29,0.56,0.93,0.26,1.13,0.69,1.48
"I am someone who Is dependable, steady",0.86,0.93,0.73,1.27,0.56,1.43,1.12,1.59
"I am someone who Is moody, has up and down mood swings",1.36,1.18,0.37,1.05,0.26,1.16,1.09,1.41
"I am someone who Is inventive, finds clever ways to do things",1.03,0.8,0.67,1.01,0.42,1.26,1.14,1.44
I am someone who Tends to be quiet,1.34,1.24,0.57,0.97,0.34,0.94,1.12,1.27
I am someone who Feels little sympathy for others,1.45,1.44,0.6,1.2,0.93,1.27,0.79,1.54
"I am someone who Is systematic, likes to keep things in order",1.06,1.03,0.76,1.17,0.44,1.18,1.09,1.37
I am someone who Can be tense,1.27,1.36,0.46,0.99,0.34,0.9,1.08,1.2
"I am someone who Is fascinated by art, music, or literature",1.17,1.09,0.94,1.31,0.66,1.07,1.44,1.36
"I am someone who Is dominant, acts as a leader",1.35,1.41,0.63,1.01,0.4,1.14,1.15,1.49
I am someone who Starts arguments with others,1.05,1.06,0.84,1.24,0.68,1.26,0.77,1.54
I am someone who Has difficulty getting started on tasks,1.39,1.34,0.47,1.19,0.36,1.19,0.86,1.49
"I am someone who Feels secure, comfortable with self",1.27,0.8,0.8,1.16,0.47,1.31,1.08,1.49
"I am someone who Avoids intellectual, philosophical discussions",1.21,1.11,0.49,1.13,0.37,1.1,1.36,1.56
I am someone who Is less active than other people,1.31,1.47,0.79,1.12,0.56,1.01,1.04,1.31
I am someone who Has a forgiving nature,1.2,1.1,0.59,1.1,0.14,1.16,0.9,1.37
I am someone who Can be somewhat careless,1.25,1.1,0.55,0.85,0.36,1.19,1.11,1.38
"I am someone who Is emotionally stable, not easily upset",1.27,1.05,0.77,1.08,0.43,1.13,1.01,1.47
I am someone who Has little creativity,1.2,1.19,0.56,0.89,0.93,1.19,0.69,1.32
"I am someone who Is sometimes shy, introverted",1.36,1.42,0.64,0.89,0.42,1.04,1.11,1.3
I am someone who Is helpful and unselfish with others,0.88,0.89,0.76,1.13,0.46,1.2,1.05,1.5
I am someone who Keeps things neat and tidy,1.24,1.18,0.79,1.19,0.28,0.99,1,1.35
I am someone who Worries a lot,1.47,1.46,0.6,1.2,0.42,0.85,1.08,1.33
I am someone who Values art and beauty,1.07,0.97,0.86,1.02,0.56,1.01,1.3,1.35
I am someone who Finds it hard to influence people,1.2,1.14,0.19,0.84,0.23,1.1,1.04,1.37
I am someone who Is sometimes rude to others,1.25,1.13,0.98,1.15,0.45,1.27,0.91,1.49
"I am someone who Is efficient, gets things done",0.88,0.81,0.83,1.25,0.62,1.23,1.12,1.46
I am someone who Often feels sad,1.43,1.34,0.55,0.83,0.37,1,0.98,1.25
"I am someone who Is complex, a deep thinker",1.08,1.12,0.67,0.95,0.48,1.08,1.06,1.26
I am someone who Is full of energy,1.3,1.3,0.83,1.02,0.56,1.11,1.24,1.35
I am someone who Is suspicious of others’ intentions,1.3,1.24,0.4,1.1,0.23,1.1,0.83,1.49
"I am someone who Is reliable, can always be counted on",0.88,0.75,0.84,1.31,0.53,1.39,1.09,1.59
I am someone who Keeps their emotions under control,1.14,0.94,0.63,0.95,0.22,0.97,1.08,1.44
I am someone who Has difficulty imagining things,1.06,0.91,0.28,0.83,0.81,1.1,0.53,1.27
I am someone who Is talkative,1.38,1.2,0.58,1.05,0.38,0.92,1.11,1.28
I am someone who Can be cold and uncaring,1.23,1.12,0.57,1.06,0.98,1.43,0.87,1.49
"I am someone who Leaves a mess, doesn’t clean up",1.12,0.99,0.81,1.27,0.83,1.39,0.95,1.64
