"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
38,46,27,53,56
25,52,38,40,52
44,46,51,40,55
52,57,58,42,43
52,48,56,26,51
54,53,48,36,34
19,39,34,52,40
35,54,53,50,39
30,30,50,27,54
31,49,38,41,48
27,36,34,49,60
26,48,50,41,43
18,51,43,43,40
39,47,33,28,59
26,45,35,22,38
44,55,55,21,56
34,32,34,38,35
35,57,52,24,53
46,28,50,37,55
45,49,37,36,57
19,37,19,59,49
23,42,51,30,34
34,35,48,57,57
24,53,46,39,49
27,26,54,42,52
30,35,28,51,45
35,53,51,33,35
49,55,60,15,58
16,51,38,58,54
45,38,47,42,50
53,60,57,12,60
39,49,40,17,53
20,40,38,46,39
33,44,48,32,52
23,52,48,47,51
23,36,53,44,50
51,50,46,21,56
22,48,51,42,50
27,42,57,42,49
20,51,39,29,27
29,52,45,30,31
30,43,40,37,51
33,34,58,40,51
30,32,48,31,42
60,60,60,16,59
46,49,44,15,60
24,27,33,34,44
21,34,37,49,40
19,45,41,51,57
36,51,48,34,45
30,46,56,42,52
38,57,54,20,59
40,60,60,21,60
33,56,41,31,56
49,56,41,12,37
28,53,48,54,53
40,58,54,19,54
45,59,59,15,59
31,60,40,20,49
45,56,60,12,34
45,48,41,46,49
41,49,45,25,46
46,53,51,38,54
42,49,44,25,36
52,52,54,17,58
37,56,53,37,39
54,31,46,23,58
39,22,55,23,50
21,52,37,26,44
18,53,41,44,47
53,48,54,14,58
43,49,45,18,53
35,51,49,20,51
26,47,50,44,30
29,59,45,31,49
40,42,55,29,37
35,43,51,38,48
31,45,44,27,43
33,31,42,27,49
28,28,53,49,31
23,50,54,28,60
40,49,44,26,40
34,52,53,38,55
38,38,48,47,51
15,57,55,29,57
37,48,60,20,59
26,38,41,14,38
30,46,51,22,36
25,56,31,37,51
45,53,54,21,52
26,50,49,25,26
44,58,60,16,52
33,59,50,38,53
47,54,55,18,60
33,34,34,19,57
43,59,39,14,56
53,50,57,16,50
51,30,56,19,39
42,49,47,26,51
23,57,38,41,59
32,37,33,36,32
43,60,60,13,52
23,56,46,35,42
34,56,54,45,42
41,46,53,20,35
25,51,39,27,57
41,41,50,28,35
28,35,22,43,45
23,44,40,35,31
55,55,56,20,48
55,51,48,24,60
41,52,59,12,59
30,39,33,47,38
28,47,45,36,48
59,52,59,13,59
33,51,51,23,56
44,46,48,24,48
37,37,51,34,54
35,38,51,39,51
32,32,52,18,55
27,38,50,57,36
36,40,46,31,39
52,48,58,18,46
35,57,50,19,57
39,49,55,22,44
26,58,60,27,41
53,46,59,15,41
28,27,44,18,35
55,53,60,18,50
37,40,40,43,43
45,35,51,34,43
22,57,40,54,23
32,50,58,33,54
33,39,42,18,34
26,50,49,33,45
51,49,52,12,43
23,50,39,54,57
36,34,36,35,36
50,51,53,23,59
37,59,50,39,24
29,53,47,32,51
35,34,42,32,41
42,54,58,19,53
40,51,53,30,54
46,50,57,13,60
45,55,40,23,53
26,60,42,43,53
40,45,52,17,43
49,51,57,20,55
35,50,51,25,44
35,55,46,23,29
17,42,28,31,47
53,44,43,41,56
17,47,52,51,28
19,39,31,54,46
36,34,51,43,49
43,37,57,21,57
36,55,60,22,54
44,45,47,29,56
23,55,41,35,60
51,59,58,22,35
43,42,46,31,38
39,48,53,30,43
36,34,40,36,36
60,56,60,12,58
39,54,57,32,60
25,43,60,32,56
31,35,45,19,57
28,49,33,26,55
35,37,36,38,38
46,52,51,33,50
55,56,60,19,60
12,44,27,40,26
49,36,43,43,40
38,52,59,22,49
23,43,56,29,52
41,40,52,19,58
21,19,30,53,47
34,40,51,24,45
49,48,43,32,52
34,45,23,18,48
45,40,51,19,37
28,41,38,44,59
43,37,58,28,34
41,55,43,22,44
27,52,60,36,60
54,34,52,13,57
49,52,57,22,51
42,49,60,27,56
42,47,37,54,48
31,53,43,37,50
30,59,57,12,60
34,48,48,29,53
23,46,52,22,56
54,54,58,13,32
40,48,54,25,58
29,57,27,47,41
50,45,51,20,48
48,35,39,41,56
25,49,27,60,52
42,30,42,50,36
24,57,60,16,48
46,49,51,16,37
28,52,49,20,52
25,37,48,48,43
47,44,53,33,50
33,36,48,28,60
43,52,52,34,42
24,41,39,38,26
33,55,38,42,49
42,50,45,44,37
36,50,30,49,58
32,42,39,31,47
38,53,56,24,54
23,49,58,26,49
47,40,45,26,35
46,55,55,33,58
39,22,36,36,50
24,44,44,29,42
21,42,46,24,32
26,50,44,44,50
46,45,52,24,60
25,51,38,53,57
46,23,29,24,37
34,45,30,27,51
36,41,42,27,47
40,25,33,59,55
40,53,57,38,49
46,52,56,25,34
49,54,60,12,60
54,59,53,14,56
34,50,56,34,46
19,43,45,36,39
34,34,47,42,36
27,39,43,50,42
53,55,33,42,54
48,58,51,23,54
36,59,60,13,42
45,57,52,28,51
42,51,48,17,55
32,46,43,33,45
45,48,57,21,54
31,38,56,18,39
45,48,60,28,32
