"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
37,43,46,37,38
35,48,45,23,41
36,37,34,36,39
38,49,50,31,39
38,46,41,38,47
37,44,42,34,44
36,47,48,33,44
30,47,47,35,38
33,44,32,35,38
39,46,47,28,36
43,39,32,25,39
42,46,50,21,46
37,43,48,33,42
39,50,45,34,41
39,46,41,34,34
34,41,43,35,42
36,48,42,31,42
38,46,39,35,41
41,55,49,26,41
49,50,41,32,44
30,42,47,35,37
40,39,40,32,42
36,46,46,34,38
40,48,50,32,44
35,44,40,36,43
41,47,43,32,44
41,49,49,28,48
36,42,43,34,43
36,44,41,35,40
42,47,49,30,47
40,49,47,29,43
43,46,50,25,40
42,43,50,28,48
34,39,52,29,38
37,39,39,35,39
33,49,49,33,43
30,47,42,39,46
38,49,53,32,40
39,45,48,30,44
39,44,44,33,40
40,40,45,33,37
35,50,45,32,44
40,45,45,31,41
27,41,39,40,32
35,45,51,32,36
39,46,50,28,39
38,56,48,29,40
38,46,50,32,39
38,46,47,32,43
41,45,53,27,44
37,43,49,35,37
34,38,28,35,35
39,40,42,34,32
40,49,41,32,44
42,50,50,31,39
42,44,44,32,44
40,43,46,34,46
40,54,52,32,39
29,45,32,38,44
45,45,49,30,43
33,46,34,44,44
44,45,49,27,39
34,47,40,34,44
36,44,42,33,44
41,45,44,30,42
43,47,51,27,36
29,44,43,35,38
39,44,47,33,40
36,42,40,36,38
40,48,47,31,44
38,43,47,29,46
37,47,50,36,37
40,51,51,28,41
35,46,43,28,41
37,48,42,36,37
25,41,31,42,45
39,49,43,35,44
27,52,43,43,37
46,57,58,24,38
37,43,43,32,41
35,44,45,34,44
42,43,39,34,36
35,43,36,36,37
40,44,50,33,44
37,42,39,35,38
40,53,53,30,47
42,48,44,32,45
33,46,44,39,41
43,43,44,34,42
38,46,56,35,37
41,43,43,35,46
37,48,45,31,42
42,45,49,29,41
37,46,45,34,39
31,40,39,40,45
43,47,45,33,42
24,35,40,37,36
39,47,47,33,45
39,42,39,37,42
38,46,44,32,42
36,40,43,35,36
33,48,45,28,39
36,43,44,35,36
39,45,51,33,38
41,41,42,35,37
37,51,44,30,36
39,45,46,26,43
38,43,42,32,42
44,48,48,27,45
34,38,34,36,37
42,45,47,33,43
39,44,50,29,44
39,45,47,27,41
38,46,41,32,42
39,44,40,36,36
37,49,48,30,43
36,46,45,31,41
36,45,43,33,44
39,42,45,34,45
40,44,43,33,39
41,43,43,32,42
42,42,45,33,38
26,38,39,44,40
36,43,41,36,38
34,43,45,27,45
27,48,38,31,40
39,45,48,31,43
39,45,46,34,41
48,46,46,27,41
41,50,50,29,50
35,40,36,49,33
40,46,50,25,43
39,44,49,34,36
43,52,44,30,41
39,48,45,33,47
39,52,46,32,39
39,48,44,33,43
34,51,48,28,43
38,46,40,32,43
40,42,43,32,51
34,46,45,33,39
40,53,39,28,44
39,42,50,29,37
43,47,43,30,46
46,50,37,34,41
41,43,43,36,45
38,42,45,46,44
38,45,44,31,40
36,43,46,32,37
36,47,42,33,40
32,38,37,36,40
37,42,41,33,43
29,44,38,35,38
43,42,44,31,35
36,44,42,33,48
46,43,39,34,40
37,43,42,43,45
40,44,46,30,41
25,45,36,52,37
40,49,50,29,41
32,46,49,30,38
40,49,52,27,42
34,45,43,37,38
40,45,44,30,44
39,45,47,30,47
41,44,45,31,46
40,43,51,32,45
36,43,44,37,45
44,44,47,31,36
37,45,39,35,38
38,45,42,32,43
32,39,41,35,36
38,40,33,35,42
41,49,48,30,43
33,37,22,34,44
35,48,41,32,41
38,50,50,30,39
34,51,47,34,45
42,48,49,27,46
38,48,51,28,48
43,47,47,28,41
41,45,45,30,40
36,46,41,26,41
38,45,47,33,47
43,51,51,30,42
38,47,52,29,40
41,40,39,33,37
40,42,39,36,37
32,49,47,34,43
38,50,45,28,44
35,46,41,35,42
43,46,41,33,42
35,43,46,35,41
36,45,47,30,40
38,47,49,30,43
36,47,47,35,48
36,50,51,33,40
41,44,45,33,37
36,48,45,33,39
32,47,48,28,42
35,48,45,33,39
36,51,47,31,40
43,50,48,30,43
40,48,51,28,42
37,44,41,35,40
41,40,44,33,46
40,43,41,32,38
38,49,47,31,41
49,46,48,26,38
38,48,41,33,39
41,44,42,31,41
45,40,41,26,38
43,41,42,35,43
36,42,41,35,36
35,39,39,36,37
41,43,45,31,45
37,42,40,35,41
31,40,36,39,37
38,44,50,26,33
39,42,44,35,40
32,44,40,35,44
42,48,49,36,40
36,46,43,36,42
38,46,38,34,43
36,41,41,36,36
40,40,45,32,41
39,44,43,31,46
41,42,47,29,37
38,47,48,29,41
41,47,50,29,41
40,48,52,31,37
25,40,25,44,39
38,43,47,32,42
38,44,43,32,41
40,41,29,39,41
36,38,37,36,37
39,45,46,30,50
34,44,40,37,39
36,41,37,36,38
38,43,47,35,39
37,36,36,36,36
45,47,46,31,40
38,44,48,33,45
36,43,47,33,38
36,44,45,35,36
37,40,44,34,38
37,45,44,34,40
38,44,42,33,37
40,42,45,34,37
41,49,54,31,46
37,44,43,33,35
40,50,51,29,44
42,44,53,31,42
34,45,45,31,38
39,50,49,30,43
41,47,50,28,47
35,46,46,34,44
37,44,43,32,46
33,47,44,31,43
32,20,30,39,29
