"Sociability","Assertiveness","Energy_Level","Compassion","Respectfulness","Trust","Organization","Productiveness","Responsibility","Anxiety","Depression","Emotional_Volatility","Intellectual_Curiosity","Aesthetic_Sensitivity","Creative_Imagination"
12,11,18,20,12,15,15,16,16,8,7,9,14,16,17
12,16,16,16,17,16,12,17,12,12,8,8,11,14,14
10,14,16,20,20,16,17,17,16,8,8,8,17,13,17
19,19,19,16,16,16,13,17,11,12,6,10,8,16,17
9,10,13,18,20,18,15,16,16,11,7,7,12,11,12
12,15,15,20,20,17,17,19,18,12,8,8,16,18,18
12,14,19,18,19,17,12,17,16,10,7,8,19,18,17
12,11,11,18,18,15,12,10,12,16,10,11,11,17,14
12,14,16,17,17,16,13,17,16,14,12,9,16,17,17
12,12,11,18,17,16,10,12,12,16,9,13,17,12,13
20,19,11,4,4,4,4,5,4,12,13,20,4,8,11
13,17,14,17,9,8,9,18,10,20,16,19,9,6,12
7,7,8,18,20,17,17,13,18,8,8,6,6,8,10
20,20,20,6,6,4,4,13,4,20,15,20,19,16,20
7,12,10,12,16,13,12,14,12,9,9,8,10,7,14
16,14,17,20,20,17,13,18,18,12,7,10,17,20,17
12,16,17,18,19,17,12,18,16,14,8,15,17,20,18
8,13,13,18,19,16,17,17,18,10,8,8,17,15,15
10,12,16,20,20,17,14,15,16,8,6,8,16,19,16
4,7,4,15,18,12,14,13,13,20,18,18,12,15,10
8,10,13,19,18,16,13,16,16,15,11,9,12,9,13
18,12,18,20,20,19,13,15,16,8,5,9,10,13,12
12,14,18,17,19,15,15,19,17,14,7,7,16,12,13
15,14,20,17,19,18,14,16,15,8,5,8,13,17,19
12,18,18,17,19,17,20,20,20,10,4,6,15,13,17
16,19,19,12,14,12,8,18,14,10,5,8,8,5,12
15,13,17,19,20,18,13,14,16,9,7,9,15,18,16
10,12,13,18,20,17,14,14,16,10,8,6,14,10,12
4,5,8,15,18,10,12,10,12,17,16,16,10,16,11
12,13,16,15,17,16,14,16,13,14,8,9,16,12,16
17,16,17,12,11,12,7,13,7,12,10,16,16,13,16
15,16,17,10,7,8,8,13,6,16,16,16,15,17,16
14,15,20,19,20,16,15,20,18,13,7,8,8,8,14
10,11,12,18,19,15,13,15,14,11,8,8,13,12,14
14,17,20,16,20,17,17,20,16,8,4,7,16,10,15
16,15,16,17,20,16,18,19,18,10,7,7,19,18,17
15,14,20,20,20,18,13,18,18,7,4,7,11,18,15
16,13,18,20,20,19,14,16,16,5,4,7,15,20,16
8,12,15,17,17,16,14,16,16,16,13,10,16,20,16
14,14,16,20,20,16,17,19,18,14,8,8,16,17,14
14,15,18,19,20,18,13,20,18,8,5,6,9,6,12
19,20,20,12,16,13,11,16,8,14,5,14,10,12,14
18,16,18,16,18,16,12,17,16,12,7,8,17,20,16
12,16,19,19,19,17,13,18,14,16,14,16,15,20,20
12,18,17,14,17,14,14,19,16,12,7,8,17,9,19
13,12,14,20,20,16,17,18,18,14,8,8,17,17,14
8,10,16,16,16,16,12,16,14,10,8,8,8,16,15
12,15,18,18,19,18,13,16,13,12,14,12,14,20,20
6,5,5,7,11,11,4,4,4,12,17,15,5,4,6
9,7,8,18,20,16,14,14,15,12,7,6,11,10,11
7,11,11,19,19,13,14,16,16,14,8,8,16,10,14
11,13,15,13,16,12,12,17,14,16,16,16,11,9,13
9,13,15,20,20,15,15,17,16,12,9,8,15,13,16
13,13,18,18,20,15,13,18,16,10,7,8,18,10,13
12,17,18,20,20,17,17,19,19,14,8,8,16,18,17
10,12,16,16,16,14,10,11,8,18,15,17,8,14,13
12,16,19,15,18,14,14,19,13,12,7,14,17,15,19
12,17,19,17,18,16,12,17,14,10,8,8,15,12,16
12,13,17,20,20,18,16,17,17,7,6,6,16,14,15
18,19,20,15,17,15,12,19,18,14,5,8,14,12,16
15,18,20,16,17,16,11,19,12,10,10,12,10,4,14
14,14,17,20,20,16,12,14,16,11,7,11,16,20,17
20,20,20,11,9,10,12,20,12,12,4,8,20,13,20
17,17,20,16,18,16,12,18,16,10,7,8,18,17,20
10,10,10,20,19,17,14,11,16,11,8,7,10,8,12
7,9,10,18,19,15,12,14,13,15,11,11,13,13,16
16,16,16,15,18,16,16,19,17,10,7,8,17,12,16
14,14,16,14,16,14,12,16,12,14,8,10,12,17,16
5,9,11,8,12,10,9,11,9,17,14,16,10,10,12
12,17,14,17,18,14,14,17,18,10,8,8,14,12,12
15,19,20,18,18,16,12,17,16,8,5,8,18,15,17
8,11,13,16,18,16,10,8,9,8,9,13,14,20,17
16,19,18,20,18,16,17,19,18,18,16,16,17,20,17
8,12,13,12,16,12,12,15,13,14,9,11,16,11,16
18,13,17,20,20,19,13,19,18,7,6,6,18,19,18
14,12,16,16,18,16,12,17,14,14,7,9,8,12,12
13,17,20,15,18,14,17,20,17,12,7,8,16,12,15
15,14,18,17,17,16,12,15,13,16,8,15,17,20,20
14,17,20,17,19,17,13,20,18,14,6,8,6,9,14
8,13,17,19,19,17,14,17,16,7,7,7,19,9,15
12,15,18,20,20,18,17,19,19,10,6,8,19,13,16
16,19,17,17,20,16,19,20,20,10,5,6,7,9,13
10,6,7,14,16,15,5,4,5,16,16,16,12,14,12
16,17,16,16,18,16,14,18,17,8,6,8,16,9,16
12,11,15,19,20,16,17,16,16,10,8,8,16,15,15
11,10,15,14,16,12,5,8,4,19,16,19,18,17,14
12,11,15,14,14,12,8,10,8,18,16,19,17,14,17
12,14,17,18,20,15,17,16,16,8,6,6,19,20,15
8,11,15,16,18,14,14,14,16,17,10,14,16,14,14
16,12,16,14,16,12,8,10,6,16,12,16,18,14,18
14,14,16,20,20,18,16,17,18,7,6,8,17,14,16
15,13,17,18,17,17,13,14,12,9,7,8,6,4,11
16,13,16,17,20,17,13,17,16,11,11,8,11,7,15
8,12,14,20,20,16,17,18,18,12,8,8,19,19,17
12,16,16,16,16,15,12,17,14,11,8,8,11,11,14
12,12,14,20,18,16,16,16,17,11,8,8,15,12,16
11,12,17,18,18,15,12,16,16,10,7,8,12,9,14
9,12,16,20,19,16,12,16,17,10,8,8,15,10,12
10,11,18,14,18,14,12,16,16,14,8,10,17,5,13
13,17,20,18,19,14,12,18,16,10,6,8,9,6,14
12,12,16,18,19,16,16,18,14,10,8,7,17,9,15
5,9,14,17,15,15,13,12,14,8,9,10,11,10,12
13,17,12,7,7,8,5,6,6,13,11,17,9,15,15
8,12,15,20,20,17,17,17,19,8,8,8,13,14,12
8,13,13,19,18,18,13,15,14,16,17,16,20,20,20
14,14,17,16,17,16,12,16,11,14,8,15,17,19,17
8,10,11,20,20,17,17,16,16,10,7,7,16,17,12
6,14,12,18,19,16,17,17,16,16,8,7,15,12,12
10,10,12,15,18,14,10,7,8,12,11,14,12,16,12
15,18,18,8,7,5,6,18,12,15,12,18,4,4,9
20,19,20,20,20,20,13,19,10,5,4,8,16,15,18
12,13,18,20,20,20,15,16,18,5,4,5,15,19,15
10,12,16,18,19,16,13,17,16,11,8,9,18,10,16
10,10,14,19,16,17,14,12,16,7,6,8,14,17,12
17,14,18,17,18,18,12,13,12,8,7,9,8,7,16
4,9,12,14,18,9,11,13,10,18,12,14,13,20,18
8,12,13,19,19,17,13,12,16,8,8,10,17,18,13
20,20,20,20,20,20,17,16,19,8,4,17,8,20,20
15,17,18,20,20,17,17,19,19,8,5,8,17,12,14
20,14,18,20,20,18,12,13,13,8,6,10,16,15,16
7,12,10,12,16,14,16,13,16,14,10,8,10,8,12
12,18,18,14,17,16,13,18,12,10,8,8,18,10,19
9,11,11,16,18,14,13,16,16,12,9,9,9,12,12
12,14,16,20,20,19,15,18,17,10,7,8,19,19,17
8,11,9,19,20,17,15,13,15,17,13,14,16,19,19
15,12,17,18,20,17,13,14,16,9,8,9,18,18,15
14,15,18,20,20,17,13,17,16,10,6,9,17,20,18
16,15,16,16,16,16,12,17,12,12,8,10,17,19,19
8,10,9,15,18,14,12,13,15,10,11,10,10,9,10
17,17,18,20,20,17,17,18,18,8,6,8,17,20,17
16,14,17,20,19,16,14,17,16,8,6,8,18,16,17
14,13,16,20,20,16,17,18,18,12,8,8,17,12,12
12,18,17,14,16,13,15,19,17,12,8,8,18,12,19
8,13,15,14,19,13,19,20,20,12,6,5,20,7,18
16,16,14,10,14,12,9,12,8,10,12,15,8,13,12
8,10,10,16,17,14,10,12,13,10,9,11,11,11,13
7,10,15,18,17,15,12,14,8,10,9,16,13,19,16
8,13,10,20,20,16,19,19,20,16,9,7,18,8,12
17,20,19,20,16,18,16,20,18,8,5,5,20,17,20
15,16,20,17,19,17,13,19,14,16,6,10,9,9,15
13,16,16,12,13,14,13,17,12,14,7,9,15,11,14
