"Sociability","Assertiveness","Energy_Level","Compassion","Respectfulness","Trust","Organization","Productiveness","Responsibility","Anxiety","Depression","Emotional_Volatility","Intellectual_Curiosity","Aesthetic_Sensitivity","Creative_Imagination"
11,12,14,16,16,16,16,16,16,9,9,8,16,17,15
10,13,14,18,19,15,16,16,16,9,10,9,16,19,16
14,11,16,15,17,16,15,16,16,9,10,8,16,15,16
13,9,8,17,20,13,14,14,16,10,14,11,5,4,8
6,7,7,11,20,10,16,18,19,12,14,6,6,7,11
12,12,12,12,12,12,12,12,12,12,12,12,14,12,12
10,11,14,16,17,15,14,12,15,9,10,9,15,17,17
5,8,4,16,17,14,15,8,15,14,18,11,9,13,11
12,12,15,20,16,18,13,15,18,8,9,8,14,14,16
12,12,12,12,14,12,12,12,12,12,12,12,13,12,12
4,6,4,14,19,12,15,7,16,14,13,11,11,13,11
11,14,16,14,18,14,16,16,19,10,10,6,12,12,13
20,18,20,17,17,17,14,20,13,7,5,7,16,15,16
12,11,15,19,19,17,12,15,18,13,9,7,12,11,15
14,12,16,16,17,16,12,14,13,8,10,9,15,16,12
11,14,9,15,14,14,15,13,16,17,14,13,15,13,13
14,11,8,16,17,15,4,5,6,9,10,15,12,17,14
6,9,10,13,17,13,12,13,14,12,14,7,7,4,7
10,13,13,18,14,12,14,14,13,19,16,17,14,16,15
11,12,11,13,16,14,16,14,16,10,10,9,13,14,13
17,14,16,16,17,15,13,16,15,9,9,12,15,16,15
10,15,9,13,12,11,9,12,9,17,18,18,14,14,16
11,9,9,15,15,14,8,8,8,11,12,13,13,14,11
12,12,14,20,15,19,16,18,16,11,8,8,15,14,14
9,14,12,11,9,8,12,11,10,12,14,13,10,11,15
15,11,12,15,16,14,5,7,8,9,12,15,16,17,14
13,11,15,16,17,16,15,16,16,8,10,8,15,15,15
7,10,8,16,16,14,16,10,16,15,15,9,14,15,10
12,12,12,12,12,12,12,12,12,12,12,12,13,12,12
11,12,15,16,18,16,14,16,15,9,9,9,15,18,16
8,11,11,16,20,15,12,14,15,13,10,9,13,5,7
14,9,10,17,20,15,14,14,16,11,8,12,5,6,6
12,18,12,4,4,7,15,14,14,13,13,9,10,15,18
14,14,16,18,18,15,13,16,13,9,9,11,18,16,14
8,8,8,13,15,14,13,8,15,14,16,12,12,12,11
11,14,16,16,17,16,16,17,15,8,10,8,17,18,17
19,17,20,17,18,18,16,20,16,7,5,7,15,16,16
10,15,12,9,13,11,16,15,16,10,10,10,12,11,15
11,10,13,15,20,15,20,20,19,9,8,7,11,12,13
11,12,10,4,5,6,10,6,6,14,17,15,10,12,13
13,11,11,19,20,16,17,14,16,9,9,10,8,4,4
12,12,12,15,17,14,16,16,16,10,10,8,11,13,12
9,14,9,8,6,8,10,11,11,16,15,12,9,15,16
10,14,9,4,4,7,14,13,9,12,13,10,8,7,15
10,10,10,16,14,14,4,4,5,12,15,14,14,13,12
8,8,7,14,19,11,17,12,16,7,12,4,4,4,4
12,14,10,15,18,16,17,16,18,6,8,8,14,14,14
11,13,9,15,18,14,16,15,19,6,9,4,13,13,13
12,12,12,12,14,12,12,12,12,12,12,12,14,12,12
12,12,12,13,15,12,12,15,12,11,12,12,16,12,12
20,17,20,19,19,16,15,20,15,11,5,8,16,17,16
11,11,10,16,20,16,16,13,16,8,8,8,12,16,13
5,8,5,15,15,12,11,6,15,18,20,13,10,13,11
20,18,20,18,18,17,14,20,13,5,4,7,15,17,16
11,12,10,17,20,17,15,15,15,8,9,9,13,14,13
12,8,7,14,15,14,4,5,6,12,14,13,12,15,15
9,12,10,8,7,7,13,12,10,11,11,10,10,10,14
14,13,17,17,15,14,8,11,11,11,10,14,17,17,17
11,14,14,13,15,12,17,17,16,11,10,8,11,11,12
12,14,16,19,14,17,16,16,14,9,9,9,17,16,15
13,11,11,13,18,16,13,12,15,9,10,11,7,7,8
11,10,11,15,20,17,13,14,16,7,9,11,12,13,13
