"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
40,50,53,33,59
37,51,48,31,57
37,48,43,31,42
34,37,47,36,12
23,36,47,29,15
36,36,36,36,36
38,46,43,35,49
13,36,31,45,30
36,59,49,30,42
36,36,36,36,36
12,40,30,44,36
44,52,60,26,44
60,49,49,18,55
30,30,39,34,12
39,47,39,35,49
29,27,31,54,35
25,33,12,38,33
27,30,43,32,12
32,27,26,60,45
36,40,40,29,38
45,49,44,29,45
43,15,20,60,45
28,38,27,41,35
37,60,54,24,44
44,23,29,42,41
31,34,12,38,36
37,46,43,31,42
24,42,35,43,35
36,36,36,36,36
38,47,45,33,50
36,36,41,36,12
35,36,36,36,20
40,12,24,37,31
45,55,47,34,60
24,30,32,44,34
46,48,55,32,60
60,53,57,15,59
32,24,30,39,32
38,50,59,29,39
40,16,29,33,38
34,36,41,36,12
36,40,43,33,37
29,12,23,45,23
28,12,20,42,32
29,33,12,36,35
31,33,45,32,12
36,47,45,14,40
36,50,44,14,40
36,36,36,36,36
36,36,36,36,36
60,54,58,18,60
36,51,46,19,44
12,22,26,51,27
60,57,56,24,59
36,51,45,18,43
26,33,16,38,34
41,12,24,39,35
34,28,14,42,38
36,41,43,33,39
45,54,47,35,60
36,36,35,36,34
36,49,43,18,42
12,28,22,48,30
43,49,60,26,45
31,32,16,42,35
38,57,49,29,43
46,43,45,28,45
39,60,54,29,43
36,41,44,33,38
35,16,24,42,30
36,47,45,13,42
35,51,43,19,43
46,49,46,26,47
34,25,33,39,35
45,52,43,35,58
31,39,44,35,13
36,36,36,37,37
24,35,36,43,35
25,37,35,47,37
32,37,40,33,20
40,12,28,36,38
36,36,36,36,36
36,60,49,28,42
36,43,42,26,42
35,37,39,35,24
32,36,25,36,37
13,39,32,41,29
41,59,51,29,43
38,12,21,42,37
57,56,50,18,56
58,56,54,17,56
28,23,30,60,40
12,40,32,51,22
44,55,52,36,60
36,46,47,17,42
35,40,37,36,24
13,41,32,36,30
37,59,46,31,42
36,60,53,30,41
51,54,60,18,54
60,56,60,20,60
35,59,51,31,42
39,50,43,19,43
47,49,42,25,50
36,36,36,36,36
36,36,36,36,36
32,35,12,36,36
21,25,30,55,39
34,59,46,30,42
36,37,36,36,37
45,54,53,34,60
35,36,34,36,28
35,31,12,43,35
13,25,31,50,27
14,30,31,49,33
34,12,34,48,26
37,48,43,31,42
40,52,60,26,46
32,36,18,36,35
48,53,47,29,60
29,36,47,33,12
41,13,34,36,39
12,38,30,39,31
28,31,16,40,30
37,50,45,16,42
40,16,28,60,41
33,30,20,54,45
39,50,44,20,44
36,33,17,43,37
33,32,36,34,12
38,53,45,12,43
39,51,46,34,58
36,59,52,30,42
36,36,36,36,36
41,23,32,37,39
30,33,36,46,41
34,52,50,14,42
39,42,47,31,42
31,36,25,37,36
17,24,25,60,41
30,32,25,41,34
40,60,52,24,45
49,60,54,12,52
36,36,36,36,36
40,60,54,29,45
30,26,26,53,37
13,25,26,52,32
41,24,39,41,37
45,53,46,34,60
39,60,50,27,42
45,12,39,35,39
47,48,44,29,44
32,32,20,43,35
20,27,29,55,35
51,54,60,19,49
19,30,56,29,13
34,36,36,36,14
36,59,50,30,42
40,47,40,34,52
34,16,34,34,39
36,44,46,19,42
31,35,12,37,31
40,55,45,37,58
45,23,36,36,42
34,36,16,38,35
42,49,49,30,59
43,12,40,34,38
39,49,44,34,51
32,37,43,33,14
60,60,60,14,60
38,43,48,33,40
39,49,45,16,43
32,36,26,37,36
36,36,36,36,36
44,53,60,27,47
24,30,34,43,32
36,36,36,36,36
60,55,49,15,59
34,16,30,37,37
30,33,48,29,14
39,51,46,14,44
57,54,46,19,52
42,48,41,34,48
60,55,53,17,59
39,57,50,27,43
47,48,41,28,45
43,52,51,35,59
12,30,34,49,26
46,16,28,37,40
36,37,36,36,36
36,42,44,34,38
36,36,36,36,36
33,35,17,43,36
35,47,42,25,41
36,59,49,33,44
59,55,47,21,56
36,26,28,54,36
45,49,45,30,44
34,36,12,38,35
36,36,36,36,36
26,36,12,38,35
36,36,40,36,24
35,35,16,37,36
31,37,41,32,25
46,53,44,31,60
39,12,28,36,37
26,28,33,37,31
31,37,40,36,13
26,34,30,56,37
26,29,32,45,31
38,12,24,40,37
44,54,53,12,46
36,42,44,32,39
36,39,45,35,37
37,57,50,29,43
13,24,31,41,32
36,16,32,36,26
60,56,60,13,60
36,47,41,33,42
48,53,49,29,60
41,50,54,27,59
18,33,30,56,34
37,26,32,37,40
36,46,43,26,42
36,36,36,36,36
37,56,50,29,43
47,53,60,19,51
37,41,45,32,39
12,32,26,44,31
36,36,36,36,27
38,59,53,31,42
47,49,45,26,49
42,50,60,24,40
43,52,60,23,49
35,59,50,30,43
37,12,36,46,34
51,48,60,20,43
39,48,43,33,48
13,32,34,41,31
43,53,60,29,45
25,20,24,56,43
36,50,43,19,43
45,51,60,22,44
38,44,40,35,46
44,53,60,27,42
36,36,36,36,36
30,36,42,33,12
12,38,28,37,30
29,34,20,42,35
12,39,32,44,35
12,21,24,41,32
36,60,54,28,45
59,48,47,19,51
30,33,36,45,38
37,60,51,28,43
36,60,48,31,40
38,46,42,26,43
41,58,52,29,47
42,52,60,21,47
38,33,14,45,35
27,27,20,56,44
37,25,30,40,37
46,16,26,36,37
32,36,39,36,12
35,46,43,31,42
37,35,44,30,18
30,32,36,36,25
24,41,33,45,34
22,32,30,58,34
31,36,42,33,24
42,51,60,30,43
40,20,40,24,44
29,36,12,40,35
36,60,50,30,44
60,60,56,16,60
60,52,48,18,59
35,36,26,39,38
26,29,47,29,12
34,53,50,14,44
36,45,41,35,38
33,36,28,38,36
60,59,57,16,59
39,12,28,37,38
12,44,31,51,33
54,57,46,36,60
33,36,24,38,37
30,22,23,59,36
23,35,45,27,13
37,60,49,29,42
39,58,50,30,42
12,24,24,44,30
29,33,35,45,37
42,50,60,24,45
13,32,29,48,32
43,48,60,25,41
59,46,51,20,52
42,16,29,33,39
60,56,58,24,57
36,42,45,33,38
60,45,50,24,54
