"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
60,59,46,22,59
31,60,49,28,48
40,60,49,13,47
58,59,42,23,56
36,36,36,36,36
36,36,36,36,36
33,32,12,47,36
17,19,18,60,24
30,60,50,23,48
36,36,36,36,36
45,55,42,32,60
26,33,29,46,22
45,31,12,46,41
12,24,26,53,15
13,32,25,52,23
36,12,18,42,22
39,56,47,25,47
38,54,60,18,41
27,37,14,46,30
48,52,34,30,60
28,27,39,30,12
37,12,26,42,25
13,40,25,40,23
27,32,13,41,27
39,60,56,12,48
37,21,18,59,36
44,60,47,12,43
41,35,14,50,40
27,30,35,34,24
38,58,46,12,45
36,56,35,35,56
39,60,55,19,49
36,36,36,36,36
45,19,31,35,39
22,28,26,53,30
23,60,57,12,45
44,50,51,22,47
24,42,21,47,29
16,15,18,60,24
26,30,12,45,28
33,60,52,19,46
51,60,46,12,49
36,36,36,36,36
39,60,55,15,51
12,27,20,54,19
35,19,35,37,41
37,51,36,31,52
40,60,50,19,50
41,13,43,29,28
50,53,41,26,48
36,33,16,46,36
51,56,60,18,56
23,20,53,28,12
22,23,34,42,12
32,60,49,20,46
36,48,29,38,55
40,12,14,41,18
37,59,52,13,47
32,42,16,48,43
37,60,32,40,60
44,24,43,39,47
28,31,13,49,31
33,56,40,30,55
45,12,37,24,32
35,54,41,34,56
29,27,47,29,12
60,60,54,14,59
42,49,51,27,40
45,60,55,12,49
28,42,22,42,33
36,36,36,36,36
47,57,60,16,49
18,30,26,46,24
36,36,36,36,36
60,56,43,28,60
37,12,14,43,18
26,26,50,28,12
48,60,54,12,46
60,58,41,19,55
42,52,35,33,53
60,60,50,20,57
39,60,51,21,48
55,51,39,31,50
43,54,49,29,59
12,37,35,52,20
42,12,28,29,20
36,36,36,36,36
37,48,52,30,36
36,36,36,36,36
39,35,13,50,37
30,49,42,23,42
29,60,50,22,46
60,57,43,23,55
31,17,19,59,25
53,57,42,25,50
31,36,13,52,38
36,36,36,36,36
20,37,12,49,29
27,37,37,34,20
38,30,12,44,35
23,37,52,30,24
41,58,28,35,52
37,12,23,40,16
17,30,36,41,21
22,33,35,37,24
15,22,16,60,29
16,27,24,49,22
41,12,17,40,18
44,60,56,12,47
36,49,52,22,34
40,49,50,25,39
33,60,53,19,47
14,29,27,45,21
40,12,25,44,22
60,60,47,21,59
36,54,46,25,48
51,51,31,26,60
42,48,48,27,60
16,25,23,60,25
38,21,26,44,25
34,49,48,23,44
36,36,36,36,36
31,60,49,22,46
51,55,60,16,44
35,47,51,24,35
15,35,22,48,22
32,31,28,44,18
43,60,53,18,50
55,55,42,24,51
42,50,60,17,35
45,57,60,15,49
28,60,50,24,47
33,12,37,39,28
51,50,60,16,40
36,54,41,36,51
13,36,34,46,20
49,56,60,16,45
19,21,15,60,26
40,60,51,13,49
47,48,60,17,34
34,51,34,31,56
40,52,60,18,38
36,36,36,36,36
27,24,35,29,15
13,40,30,39,21
25,33,14,44,29
12,39,25,52,24
13,34,22,42,23
39,60,57,16,52
60,52,44,21,54
22,24,27,52,26
31,60,49,16,51
31,60,53,16,49
44,48,44,24,48
43,60,50,19,53
42,52,60,15,38
41,40,12,56,47
26,18,17,60,32
38,21,24,40,28
48,12,33,36,21
23,31,32,31,12
36,56,47,24,48
41,29,37,34,16
22,29,30,36,24
18,42,24,50,24
15,21,25,60,26
26,33,42,33,24
39,53,60,20,40
42,12,24,36,16
30,35,12,42,32
30,60,46,27,45
60,60,47,18,57
60,55,38,26,57
38,40,19,45,40
22,25,55,30,12
27,60,56,12,48
35,54,47,25,45
26,41,22,46,37
60,60,47,21,57
47,12,25,39,33
12,43,28,55,26
47,47,32,29,56
30,42,18,42,36
31,17,17,60,29
23,33,54,26,13
34,60,52,17,50
37,60,53,21,49
20,28,24,40,17
21,26,24,53,26
41,52,60,15,37
13,33,20,56,20
41,49,60,23,29
60,49,43,25,56
48,12,25,24,33
60,55,48,30,55
37,49,52,29,38
60,44,43,32,55
39,48,45,29,56
32,53,43,34,52
33,58,43,27,48
31,35,37,33,12
18,28,50,27,12
36,36,36,36,36
34,45,33,31,51
12,30,26,52,21
33,60,54,21,50
36,36,36,36,36
12,44,24,48,23
42,52,60,18,37
60,50,38,31,55
29,23,35,38,13
36,46,30,38,55
20,17,18,60,22
24,33,12,41,28
30,27,33,31,12
30,17,16,59,29
34,52,46,22,47
52,58,43,24,47
37,14,21,56,31
25,43,22,46,30
41,60,55,16,54
40,17,28,40,34
29,36,12,43,35
36,53,46,27,48
15,41,30,49,26
36,36,36,36,36
38,52,35,32,54
24,36,36,37,12
32,34,35,37,20
35,16,33,24,27
43,51,36,35,60
16,29,24,50,23
44,44,45,32,56
60,55,50,19,59
36,22,27,40,25
36,50,60,18,32
41,12,21,39,35
22,31,35,39,17
36,47,49,25,38
28,12,28,44,20
31,12,24,38,19
25,31,12,43,26
27,34,40,34,12
38,60,48,12,47
27,60,52,12,46
36,36,36,36,36
36,36,36,36,36
60,57,47,25,58
33,60,49,12,44
12,24,23,57,21
60,58,50,21,57
30,60,54,12,47
22,34,12,44,28
35,12,27,40,24
47,34,12,47,43
39,49,51,25,38
42,53,34,41,60
33,37,35,36,24
32,58,45,14,44
14,25,22,54,19
40,54,60,23,44
25,28,14,46,30
36,60,49,23,48
52,48,44,30,50
44,60,54,16,53
34,49,50,25,38
41,12,23,42,19
37,60,55,12,47
24,60,51,12,47
49,49,42,24,48
37,20,30,35,29
41,47,32,35,50
25,33,38,32,12
36,36,36,36,36
16,34,30,49,25
21,31,24,55,28
29,37,38,39,12
32,16,37,23,24
36,36,36,36,36
31,60,53,18,50
36,48,46,24,46
28,39,37,37,24
27,46,24,46,36
12,40,26,44,21
42,60,53,18,52
36,12,16,38,17
60,57,42,19,54
60,60,50,18,52
18,15,19,60,28
12,34,34,57,13
32,55,40,33,50
36,60,55,12,47
36,39,26,44,17
14,43,32,47,22
37,60,57,18,51
29,60,55,15,51
54,57,60,15,55
