"Trait","honest","faking","persona_GPT3.5","shape_GPT3.5","persona_GPT4","shape_GPT4","persona_LLaMA3","shape_LLaMA3"
"Sincerity","0.6533894063135","0.549615016937567","0.22187958666291","0.555254738831695","0.491335401766422","0.6421012810944","0.694995356944611","0.820973247730501"
"Fairness","0.75169690923489","0.691628482850932","0.507243103186583","0.758660328868249","0.831346491583062","0.900306666538314","0.85667431725595","0.944706209459122"
"Greed Avoidance","0.794208874393588","0.784256840560003","0.56061824247297","0.767118563279489","0.759914860344903","0.664256647983319","0.880431083734768","0.918920968871336"
"Modesty","0.675469128581846","0.619424954142475","0.224481309688729","0.336903852878417","0.487239163301906","0.591176184380918","0.848833508719357","0.835283312599782"
"Fearfulness","0.693110557445956","0.592727578273426","-0.0154022185224004","0.61692243236329","0.589211476279277","0.822553326363223","0.585913304782444","0.703182479403578"
"Anxiety","0.721501975714684","0.667601154812133","0.479505754055425","0.675800792647522","0.7958245067381","0.849929777946479","0.727693498847132","0.875668541332091"
"Dependence","0.728432103382073","0.613759425548918","0.191853825656642","0.58480237867637","0.516940041350792","0.650817288237977","0.545928978541004","0.675371376811594"
"Sentimentality","0.681401252420176","0.60251651508404","0.554408565456639","0.868537790508777","0.595269660114897","0.90984435454045","0.752219365637165","0.898889302556466"
"Social Self-Esteem","0.699352743922979","0.627264768751917","0.383007865918366","0.734890326598513","0.629207319462402","0.909912102832958","0.869072153824574","0.912546364900915"
"Social Boldness","0.692834845364061","0.652725675883251","0.409963912906583","0.778069566300423","0.874243092482101","0.853267165687694","0.801838158440187","0.823462867930309"
"Sociability","0.749407587237006","0.619513746182191","0.667565984003052","0.880705090978362","0.883223893708136","0.960808725927193","0.751889453987142","0.917818920683856"
"Liveliness","0.786636316704681","0.683735765377605","-0.160522013005116","0.463875533357025","0.71834209771035","0.883921252796421","0.759824455914244","0.793982069814077"
"Forgiveness","0.763743943793921","0.708454390706298","0.396901237949352","0.770968241939929","-0.0327218239987053","0.886665972460798","0.660777877250572","0.851880555890181"
"Gentleness","0.626676427781934","0.521306222291282","0.595482238916935","0.827191446262231","0.697292250233426","0.868958813171535","0.756620597699654","0.807632823627288"
"Flexibility","0.61291502091398","0.509905178215628","0.410375270970694","0.839619479677484","0.842758620689658","0.850846579109154","0.719328065105904","0.821986901004943"
"Patience","0.762897769289546","0.651393423769683","0.343795435281597","0.375471854950181","0.587886400111647","0.852264802538914","0.736502801046131","0.82228916545815"
"Organization","0.743454476926767","0.71069674283956","0.499250259594265","0.69143993548269","0.541389028874332","0.760272942443024","0.719948880155915","0.782660805182786"
"Diligence","0.694344926887922","0.63642737862614","0.542151383426482","0.609874108705304","0.665674806758327","0.89230634163472","0.825732495155091","0.846017017912497"
"Perfectionism","0.671897195038532","0.585401653917013","0.484771837788326","0.662195940780333","0.763453611158168","0.871164801368452","0.81445471349353","0.8180720648211"
"Prudence","0.674613027418066","0.620706803422172","0.553428943694959","0.745666454179464","0.734910624232924","0.80526526010304","0.848355141437912","0.857092049762781"
"Aesthetic Appreciation","0.650770202024233","0.664925458483328","0.0923943244544875","0.650841819309964","0.354393002395676","0.820241092397066","0.644621567152825","0.840619297000643"
"Inquisitiveness","0.696641554979565","0.692575612989369","0.314410656044821","0.780598900414568","0.354939710878688","0.802014540902305","0.572431648048396","0.813953975004839"
"Creativity","0.706145000841747","0.705154453868237","0.498514943382216","0.730144696902721","0.797701620462205","0.863068014679153","0.809308156569795","0.854948396660861"
"Unconventionality","0.50245066373307","0.489620260062638","0.455037668743072","0.684996495294622","0.519395900755125","0.825608624045516","0.575118917508325","0.836922953960645"
"Altruism","0.49389761476531","0.587784637142925","0.31080013855213","0.794815669127043","0.587790484411798","0.939840937061842","0.719141989314026","0.909320597998996"
