"Trait","Mean","SD"
"Sincerity",3.51832315380344,0.745557563119539
"Fairness",3.98230149916713,0.830143982160998
"Greed Avoidance",3.28390477512493,0.889037017900247
"Modesty",3.63544558578567,0.730871715950862
"Fearfulness",2.80649639089395,0.822437245143932
"Anxiety",3.42785258189895,0.831757962216744
"Dependence",3.13051776790672,0.806980355402824
"Sentimentality",3.45877290394225,0.752097400696734
"Social Self-Esteem",3.72567323709051,0.713245037307031
"Social Boldness",3.07162687395891,0.782420034049288
"Sociability",3.33523042754026,0.810762801705248
"Liveliness",3.5069058856191,0.790775195962692
"Forgiveness",2.83186424208773,0.808221504053973
"Gentleness",3.25923098278734,0.678208039330567
"Flexibility",3.10386590782898,0.703992386581491
"Patience",3.26238895058301,0.811824899630925
"Organization",3.56683786785119,0.833779630592294
"Diligence",3.89516240977235,0.668296865991505
"Perfectionism",3.56118128817324,0.714683742088845
"Prudence",3.4861882287618,0.691848847922551
"Aesthetic Appreciation",3.53216962798445,0.798789708951857
"Inquisitiveness",3.51037617990006,0.817604177084666
"Creativity",3.59512076624098,0.791140464178067
"Unconventionality",3.5395960577457,0.611325014677514
"Altruism",3.90592032204331,0.572481415679797
