"Trait","Mean","SD"
"Sincerity",3.56,0.439176791486756
"Fairness",4.68916666666667,0.453349819770386
"Greed Avoidance",3.5275,0.484580379104137
"Modesty",3.22166666666667,0.320738939189799
"Fearfulness",2.97666666666667,0.321792984133715
"Anxiety",2.995,0.271977153280114
"Dependence",3.05083333333333,0.324126258826854
"Sentimentality",3.24166666666667,0.365091121931589
"Social Self-Esteem",3.22916666666667,0.328074812348057
"Social Boldness",3.04416666666667,0.281701065890722
"Sociability",2.99583333333333,0.438270741702352
"Liveliness",3.215,0.305372736768042
"Forgiveness",3.03583333333333,0.262973043538017
"Gentleness",3.40583333333333,0.386443745085804
"Flexibility",3.12416666666667,0.353256667499234
"Patience",3.03583333333333,0.195495183516498
"Organization",3.3525,0.36190052496032
"Diligence",3.73666666666667,0.52111491830737
"Perfectionism",3.4125,0.425034427092732
"Prudence",3.37166666666667,0.44911345843865
"Aesthetic Appreciation",3.18,0.276020453897713
"Inquisitiveness",3.1925,0.307762586037596
"Creativity",3.4125,0.426997078463919
"Unconventionality",3.37166666666667,0.359692207081284
"Altruism",4.005,0.399592183411385
