"Trait","Mean","SD"
"Sincerity",3.08916666666667,0.218709285110472
"Fairness",3.7725,0.736439561284392
"Greed Avoidance",3.03833333333333,0.253300399783849
"Modesty",3.0925,0.253705811514019
"Fearfulness",2.96416666666667,0.20180864199078
"Anxiety",3.03416666666667,0.249328809150615
"Dependence",2.99583333333333,0.158981832186701
"Sentimentality",3.085,0.219892798448163
"Social Self-Esteem",3.25166666666667,0.407390614272773
"Social Boldness",2.9775,0.289363417333585
"Sociability",2.99583333333333,0.398291886659544
"Liveliness",3.03083333333333,0.312917502600395
"Forgiveness",2.93833333333333,0.151460743246244
"Gentleness",3.025,0.157716777610372
"Flexibility",2.98333333333333,0.142148665249907
"Patience",3.02333333333333,0.163179801797294
"Organization",3.035,0.223101428708197
"Diligence",3.22,0.403703590061772
"Perfectionism",3.12833333333333,0.339358861696969
"Prudence",3.02166666666667,0.27649966081412
"Aesthetic Appreciation",3.03666666666667,0.182619976293286
"Inquisitiveness",3.01416666666667,0.102270080931496
"Creativity",3.24083333333333,0.399779586708374
"Unconventionality",3.1,0.207509519465725
"Altruism",3.35583333333333,0.423306350582768
