"Trait","Mean","SD"
"Sincerity",3.86166666666667,0.732965221281052
"Fairness",4.68083333333333,0.645611093851324
"Greed Avoidance",3.95166666666667,0.944840179840144
"Modesty",3.93,0.894343054050156
"Fearfulness",2.79333333333333,0.738482731487048
"Anxiety",3.15583333333333,0.757133945609497
"Dependence",3.10916666666667,0.707076726538877
"Sentimentality",3.68083333333333,0.744831222979165
"Social Self-Esteem",4.14333333333333,0.718744880259018
"Social Boldness",3.28166666666667,0.886915602811558
"Sociability",2.70833333333333,0.852115539033154
"Liveliness",3.2525,0.914049801779848
"Forgiveness",2.9,0.683354405961619
"Gentleness",3.51583333333333,0.686679986287242
"Flexibility",2.81083333333333,0.745840845922938
"Patience",3.7075,0.697032949802496
"Organization",3.10833333333333,0.852606012331076
"Diligence",3.81166666666667,0.889100042274657
"Perfectionism",3.48333333333333,0.868275241617681
"Prudence",3.12416666666667,0.951696762620406
"Aesthetic Appreciation",2.8775,0.797803474933134
"Inquisitiveness",2.7225,0.663074386581527
"Creativity",3.355,0.98452490961827
"Unconventionality",3.86166666666667,0.59963524773257
"Altruism",4.245,0.616095429779607
