"Trait","Mean","SD"
"Sincerity",3.65666666666667,0.738369501418025
"Fairness",3.82416666666667,1.1092681785131
"Greed Avoidance",3.01833333333333,0.699137468280787
"Modesty",3.37666666666667,0.704587610752779
"Fearfulness",2.87833333333333,0.804843545457399
"Anxiety",2.96666666666667,0.856885678357857
"Dependence",2.88583333333333,0.772980790985778
"Sentimentality",3.2025,1.02438598135468
"Social Self-Esteem",3.3575,1.11330600053899
"Social Boldness",2.90583333333333,0.961468865931745
"Sociability",2.78,1.08305587734189
"Liveliness",2.98333333333333,1.01891257311955
"Forgiveness",2.79916666666667,0.92184069834905
"Gentleness",3.13666666666667,0.986356198705436
"Flexibility",2.705,0.894085919868456
"Patience",3.23416666666667,0.928213106345481
"Organization",3.19,0.83914473102002
"Diligence",3.22333333333333,1.15469329734147
"Perfectionism",3.3075,0.97127751787139
"Prudence",3.21,1.04999601846673
"Aesthetic Appreciation",3.06333333333333,0.755795150766371
"Inquisitiveness",3.10833333333333,0.694529909270864
"Creativity",3.09833333333333,0.911372163071135
"Unconventionality",2.99583333333333,0.762701350500798
"Altruism",3.61333333333333,1.1214265679839
