"Trait","Mean","SD"
"Sincerity",3.39333333333333,1.1585607878828
"Fairness",3.8175,1.40078289743718
"Greed Avoidance",3.26583333333333,1.33497121042532
"Modesty",3.58833333333333,1.20396386387102
"Fearfulness",2.75333333333333,1.03087238872148
"Anxiety",2.66166666666667,1.15523263039238
"Dependence",2.88333333333333,1.01273936708367
"Sentimentality",3.08333333333333,1.22360652662346
"Social Self-Esteem",3.4975,1.20712160055581
"Social Boldness",2.9925,1.19246607266126
"Sociability",2.70083333333333,1.30645079681705
"Liveliness",2.77083333333333,1.11193328230755
"Forgiveness",2.98083333333333,1.16089040280005
"Gentleness",3.25916666666667,1.07985861155929
"Flexibility",2.91416666666667,1.13929845759301
"Patience",3.52416666666667,1.09003128375018
"Organization",2.88333333333333,1.097529403491
"Diligence",3.06,1.26790850349863
"Perfectionism",2.94916666666667,1.12962137627378
"Prudence",2.94916666666667,1.2904489531002
"Aesthetic Appreciation",2.82,1.18576422162994
"Inquisitiveness",2.74,1.03224760452948
"Creativity",2.91333333333333,1.14828163994626
"Unconventionality",3.09833333333333,1.12042330549688
"Altruism",3.61333333333333,1.27051284863661
