,honest.mean,faking.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean,honest.mean.1,faking.mean.1,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd,persona_LLaMA3.sd,shape_LLaMA3.sd
1,3.627845641,3.951703053,3.308724832,2.543333333,3.096666667,3.03,3.576666667,2.85,1.103881944,0.947306817,0.536848628,1.264959537,0.33818652,1.022702172,0.980131495,1.435631147
2,3.392837313,4.009602064,2.919463087,3.07,2.986666667,3.32,3.023333333,2.973333333,1.087346633,0.791311443,0.506081248,1.161722283,0.244994483,1.033356708,1.06453417,1.385286596
3,3.062881732,3.858739789,3.208053691,3.81,3.026666667,3.473333333,3.776666667,3.533333333,1.115968589,0.855823163,0.516073857,1.10965661,0.243899937,1.177814237,0.873306611,1.436116403
4,3.700860633,4.182964697,3.359060403,3.463333333,3.28,3.536666667,3.923333333,3.453333333,0.92464631,0.617257904,0.642439943,1.151698857,0.550098805,1.278320212,0.898226917,1.400366252
5,2.48195447,2.330769598,3.05033557,3.356666667,3.003333333,3.32,2.946666667,2.786666667,1.16312531,1.01276374,0.29726569,1.051892174,0.1917763,0.920375087,1.092918321,1.393182957
6,3.09328151,2.958008885,3.140939597,2.563333333,2.996666667,3.043333333,3.536666667,3.04,1.068610796,0.953587817,0.538361828,1.014603514,0.129272038,1.136851056,1.16612824,1.557718939
7,3.443920044,3.975588783,3.17114094,3.66,3.02,3.273333333,2.553333333,3.043333333,1.134710009,0.868161103,0.625689686,1.065293151,0.140233918,1.068845322,0.988473142,1.481701845
8,3.921154914,4.243443367,3.640939597,3.46,3.116666667,3.353333333,3.55,3.036666667,0.88277326,0.683938911,0.6265198,1.211041731,0.436298917,1.224808587,1.207903183,1.46827848
9,3.337034981,3.984426504,3.033557047,3.17,3.006666667,2.726666667,3.63,3.413333333,1.076272114,0.723236505,0.282273296,0.933096402,0.182757279,0.949540756,0.771416627,1.119523708
10,3.552609661,4.054984952,3.05033557,2.62,3.003333333,2.746666667,3.88,3.203333333,1.059591951,0.678760812,0.308384333,1.214020656,0.300482703,1.166343322,0.913810794,1.539444224
11,3.569128262,3.181818182,3.030201342,3.11,3.086666667,3.383333333,3.716666667,2.926666667,1.103335982,1.011967374,0.421350194,1.22320102,0.37365888,1.125735236,0.890147984,1.366570136
12,3.871876735,4.568767019,4.426174497,4.27,3.476666667,3.616666667,4.73,3.683333333,1.189683442,0.705356775,0.908018598,1.268515051,0.843699186,1.342533753,0.828283473,1.616094498
13,3.609661299,3.605025558,3.583892617,2.76,3.363333333,3.13,3.856666667,3.183333333,1.060201467,0.827991548,0.687558224,1.286305539,0.558894832,1.050449816,1.089378127,1.436407478
14,3.458772904,3.773802131,3.348993289,3.31,3.053333333,3.28,3.313333333,3,1.038797265,0.88027716,0.579401462,1.232462255,0.421601766,1.145705957,1.254485819,1.512489808
