number,Mean_SocialD,normal_human.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean,MSDpersona_GPT3.5.mean,MSDshape_GPT3.5.mean,MSDpersona_GPT4.mean,MSDshape_GPT4.mean,MSDpersona_LLaMA3.mean,MSDshape_LLaMA3.mean
1,3.91,2.37,2.69,3.46,2.9,2.97,2.42,3.15,-0.32,-1.08,-0.53,-0.6,-0.05,-0.78
2,6.45,3.39,2.92,3.07,2.99,3.32,3.02,2.97,0.47,0.32,0.41,0.07,0.37,0.42
3,4.91,3.06,3.21,3.81,3.03,3.47,3.78,3.53,-0.15,-0.75,0.04,-0.41,-0.71,-0.47
4,5.64,3.7,3.36,3.46,3.28,3.54,3.92,3.45,0.34,0.24,0.42,0.16,-0.22,0.25
5,3.64,2.48,3.05,3.36,3,3.32,2.95,2.79,-0.57,-0.87,-0.52,-0.84,-0.46,-0.3
6,4.36,2.91,2.86,3.44,3,2.96,2.46,2.96,0.05,-0.53,-0.1,-0.05,0.44,-0.05
7,4.73,3.44,3.17,3.66,3.02,3.27,2.55,3.04,0.27,-0.22,0.42,0.17,0.89,0.4
8,5.91,3.92,3.64,3.46,3.12,3.35,3.55,3.04,0.28,0.46,0.8,0.57,0.37,0.88
9,3.36,2.66,2.97,2.83,2.99,3.27,2.37,2.59,-0.3,-0.17,-0.33,-0.61,0.29,0.08
10,2.27,2.45,2.95,3.38,3,3.25,2.12,2.8,-0.5,-0.93,-0.55,-0.81,0.33,-0.35
11,3.45,3.57,3.03,3.11,3.09,3.38,3.72,2.93,0.54,0.46,0.48,0.19,-0.15,0.64
12,1.27,2.13,1.57,1.73,2.52,2.38,1.27,2.32,0.55,0.4,-0.4,-0.26,0.86,-0.19
13,3.73,2.39,2.42,3.24,2.64,2.87,2.14,2.82,-0.03,-0.85,-0.25,-0.48,0.25,-0.43
14,5.55,3.46,3.35,3.31,3.05,3.28,3.31,3,0.11,0.15,0.41,0.18,0.15,0.46
15,2.91,3.01,3.09,2.93,3.03,3.55,3.65,2.86,-0.08,0.08,-0.02,-0.53,-0.63,0.16
16,3.36,2.75,2.98,3.51,3.03,3.41,2.63,3.27,-0.23,-0.77,-0.28,-0.66,0.12,-0.52
17,3.82,3.08,3.49,3.61,3.03,3.24,3.86,3.24,-0.41,-0.54,0.04,-0.17,-0.79,-0.16
18,4.27,3.13,3.27,4.15,3.03,3.63,3.94,3.27,-0.14,-1.02,0.1,-0.5,-0.81,-0.14
19,3.45,2.38,2.92,3.22,2.97,3.18,2.14,3.02,-0.54,-0.84,-0.59,-0.8,0.24,-0.64
20,2.09,2.45,2.59,3.28,3.05,3.04,2.96,3.15,-0.14,-0.83,-0.6,-0.6,-0.51,-0.7
21,2.18,2.26,2.91,2.82,2.94,2.66,1.69,2.2,-0.65,-0.56,-0.68,-0.4,0.57,0.06
22,6.09,3.18,2.99,2.75,3.1,3,3.29,2.62,0.18,0.42,0.08,0.18,-0.12,0.56
23,3.64,3.07,3.24,3.52,3,3.13,2.89,2.78,-0.17,-0.44,0.07,-0.05,0.18,0.3
24,3.82,3.27,3,3.09,2.98,3.42,3.7,3.53,0.27,0.18,0.3,-0.14,-0.42,-0.26
25,3.64,2.8,2.84,3.59,3.05,3.49,3.36,3.49,-0.04,-0.79,-0.25,-0.69,-0.56,-0.68
26,6.55,3.73,4.37,3.41,3.12,3.34,2.99,2.68,-0.64,0.32,0.61,0.39,0.74,1.05
27,4.64,3.15,2.95,3.27,2.99,3.13,3.02,2.93,0.19,-0.12,0.15,0.02,0.12,0.22
28,5.82,4.07,3.2,3.22,3.13,3.4,4.17,3.32,0.87,0.85,0.94,0.68,-0.1,0.75
29,4.91,3.1,2.59,2.69,3.05,2.99,2.45,2.69,0.51,0.41,0.05,0.11,0.65,0.41
30,5,3.53,3.54,4.46,3.04,3.98,4.32,3.8,-0.01,-0.93,0.48,-0.46,-0.79,-0.27
31,4.27,3.54,3.08,3.24,3.02,3.48,3.13,3.08,0.46,0.3,0.52,0.07,0.42,0.46
