Item content,honest.sd,faking.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd,persona_LLaMA3.sd,shape_LLaMA3.sd
Sincerity,0.75,0.59,0.44,0.69,0.22,0.74,0.73,1.16
Fairness,0.83,0.46,0.44,0.96,0.74,1.11,0.65,1.4
Greed-Avoidance,0.89,0.72,0.49,0.93,0.25,0.7,0.94,1.33
Modesty,0.73,0.58,0.32,0.62,0.25,0.7,0.89,1.2
Fearfulness,0.82,0.68,0.32,0.75,0.2,0.8,0.74,1.03
Anxiety,0.83,0.67,0.26,0.8,0.25,0.86,0.76,1.16
Dependence,0.81,0.6,0.32,0.78,0.16,0.77,0.71,1.01
Sentimentality,0.75,0.59,0.36,1,0.22,1.02,0.74,1.22
Social Self-Esteem,0.71,0.43,0.33,0.82,0.41,1.11,0.72,1.21
Social Boldness,0.78,0.61,0.28,0.89,0.29,0.96,0.89,1.19
Sociability,0.81,0.56,0.44,1.1,0.4,1.08,0.85,1.31
Liveliness,0.79,0.49,0.31,0.71,0.31,1.02,0.91,1.11
Forgiveness,0.81,0.63,0.26,0.8,0.15,0.92,0.68,1.16
Gentleness,0.68,0.51,0.38,0.86,0.16,0.99,0.69,1.08
Flexibility,0.7,0.52,0.35,0.82,0.14,0.89,0.75,1.14
Patience,0.81,0.56,0.2,0.52,0.16,0.93,0.7,1.09
Organization,0.83,0.53,0.36,0.93,0.22,0.84,0.85,1.1
Diligence,0.67,0.43,0.52,0.92,0.4,1.15,0.89,1.27
Perfectionism,0.71,0.55,0.43,0.75,0.34,0.97,0.87,1.13
Prudence,0.69,0.45,0.45,0.9,0.28,1.05,0.95,1.29
Aesthetic Appreciation,0.8,0.72,0.28,0.84,0.18,0.76,0.8,1.19
Inquisitiveness,0.82,0.67,0.31,0.82,0.1,0.69,0.66,1.03
Creativity,0.79,0.68,0.43,0.81,0.4,0.91,0.98,1.15
Unconventionality,0.61,0.51,0.35,0.8,0.21,0.76,0.6,1.12
Altruism,0.57,0.46,0.39,1.03,0.42,1.12,0.62,1.27
