Item content,honest.mean,faking.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,persona_LLaMA3.mean,shape_LLaMA3.mean
1,3.63,3.95,3.31,2.54,3.1,3.03,3.58,2.85
2,3.39,4.01,2.92,3.07,2.99,3.32,3.02,2.97
3,3.06,3.86,3.21,3.81,3.03,3.47,3.78,3.53
4,3.7,4.18,3.36,3.46,3.28,3.54,3.92,3.45
5,2.48,2.33,3.05,3.36,3,3.32,2.95,2.79
6,3.09,2.96,3.14,2.56,3,3.04,3.54,3.04
7,3.44,3.98,3.17,3.66,3.02,3.27,2.55,3.04
8,3.92,4.24,3.64,3.46,3.12,3.35,3.55,3.04
9,3.34,3.98,3.03,3.17,3.01,2.73,3.63,3.41
10,3.55,4.05,3.05,2.62,3,2.75,3.88,3.2
11,3.57,3.18,3.03,3.11,3.09,3.38,3.72,2.93
12,3.87,4.57,4.43,4.27,3.48,3.62,4.73,3.68
13,3.61,3.6,3.58,2.76,3.36,3.13,3.86,3.18
14,3.46,3.77,3.35,3.31,3.05,3.28,3.31,3
15,2.99,3.63,2.91,3.07,2.97,2.45,2.35,3.14
16,3.25,3.8,3.02,2.49,2.97,2.59,3.37,2.73
17,3.08,2.68,3.49,3.61,3.03,3.24,3.86,3.24
18,3.13,3.55,3.27,4.15,3.03,3.63,3.94,3.27
19,3.62,3.86,3.08,2.78,3.03,2.82,3.86,2.98
20,3.55,4.13,3.41,2.72,2.95,2.96,3.04,2.85
21,3.74,4.44,3.09,3.18,3.06,3.34,4.31,3.8
22,3.18,3.76,2.99,2.75,3.1,3,3.29,2.62
23,3.07,2.84,3.24,3.52,3,3.13,2.89,2.78
24,3.27,3.3,3,3.09,2.98,3.42,3.7,3.53
25,3.2,3.15,3.16,2.41,2.95,2.51,2.64,2.51
26,3.73,4.4,4.37,3.41,3.12,3.34,2.99,2.68
27,3.15,3.75,2.95,3.27,2.99,3.13,3.02,2.93
28,4.07,4.31,3.2,3.22,3.13,3.4,4.17,3.32
29,2.9,3.02,3.41,3.31,2.95,3.01,3.55,3.31
30,3.53,4.01,3.54,4.46,3.04,3.98,4.32,3.8
31,3.54,3.9,3.08,3.24,3.02,3.48,3.13,3.08
32,3.99,4.31,3.82,3.51,3.24,3.48,3.81,2.93
33,3.37,3.81,4.12,3.9,3.04,3.24,3.61,3.26
34,3.02,3.45,2.95,2.68,2.96,2.92,2.97,2.78
35,3.36,3.01,2.87,1.77,2.98,2.46,2.49,2.5
36,4.11,4.62,4.52,3.99,4.08,3.84,4.89,3.92
37,3.74,3.79,3.69,3.65,3.21,3.2,3.17,2.97
38,3.84,4.26,3.15,2.49,3.12,3.07,3.91,2.87
39,3.44,3.62,3.27,3.24,2.99,3,2.92,2.85
40,3.37,3.51,2.91,2.82,2.99,2.89,2.44,2.78
41,2.73,2.45,2.52,2.2,2.99,2.7,2.25,2.71
42,3.14,3.52,3.53,3.16,3.04,2.81,3.93,3.27
43,3.8,3.68,3.44,3.46,3.09,3.29,4.19,3.41
44,3.81,4.45,3.31,3.02,3.08,3.14,3.65,3.03
45,2.64,3.27,3,3.24,2.98,2.97,2.99,3.14
46,3.78,4.43,3.49,3.14,3.06,3.05,3.85,3.09
47,3.68,3.6,3.29,3.48,3.21,3.42,4.13,3.37
48,3.82,4.03,3.59,4.64,3.34,4.09,4.4,3.93
49,3.52,3.7,3.01,3.2,3,3.22,2.35,2.85
50,3.62,4.16,3.02,2.98,3.01,3.11,3.17,2.77
51,2.29,2.86,2.9,2.55,2.73,2,2.4,2.76
52,3.56,4.18,3.02,3.03,3.08,2.97,4.09,3.5
53,2.92,2.9,2.67,3.08,2.94,2.95,1.97,2.49
54,3.81,3.97,3.23,2.99,3.04,3.44,2.82,2.65
55,3.43,3.62,3.3,2.45,3.01,2.91,3.18,2.84
56,3.72,4.32,3.49,2.67,3.03,3.01,3.83,3.13
57,3.38,3.68,3.23,3.18,3,3.18,3.32,3.08
58,3.02,3.36,2.88,3.27,2.96,3.14,2.59,2.63
59,3.06,2.44,2.96,2.19,3.05,2.79,3.66,2.77
60,3.87,4.71,4.91,4.79,3.43,4.16,4.29,3.82
61,3.72,3.81,3.38,3.31,3.13,3.12,3.45,3.14
62,3.75,3.73,4.1,3.82,3.33,3.73,3.97,3.46
63,3.18,3.98,3.62,2.84,2.99,2.82,3.47,3.14
64,3.52,3.81,2.99,3.18,3.07,2.89,3.18,2.99
65,3.52,3.36,3.17,3.42,3.01,3.08,3.13,3.01
66,3.52,3.82,3.7,3.11,3.06,2.83,3.9,3.24
67,2.91,2.44,3.55,3.36,3.27,3.03,3.81,3.03
68,3.29,3.97,3.59,4.01,3.06,3.92,2.88,3.18
69,3.48,3.66,3.03,3.79,3.07,3.77,3.97,3.93
70,3.72,4.31,3.08,2.89,3.02,3.05,3.31,3.08
71,3.58,3.68,3.3,3.75,3.07,3.36,4.03,3.28
72,3.75,4.18,3.17,2.88,3,3.08,3.73,3.47
73,3.78,3.65,3.24,3.66,3.1,3.5,2.95,3.07
74,3.53,4.35,3.1,2.79,3.02,3,3.25,3.12
75,2.83,3.51,3.08,2.62,3,2.6,2.4,2.7
76,3.57,4.48,3.34,3.25,3.52,3.52,4.38,3.71
77,2.92,2.67,2.77,1.49,2.96,2.23,2.71,2.42
78,3.65,3.96,4.31,4.5,3.28,4.16,4.78,4.08
79,3.63,3.84,3.22,2.67,3.01,2.77,2.03,1.99
80,3.95,4.53,3.99,2.71,3.5,3.04,4.05,3.15
81,2.95,3.15,3.23,3.69,3.05,3.4,3.5,3.28
82,2.7,3.36,3.31,2.75,2.99,2.82,3.69,3.36
83,3.73,3.12,3.1,3.27,3.02,3.23,2.76,2.46
84,4.08,4.7,4.92,4.19,4.11,3.68,4.81,3.84
85,3.32,3.46,3,2.85,3.25,2.94,2.95,2.36
86,3.2,3.26,3.05,3.01,3.01,3.14,2.74,2.47
87,2.81,3.59,2.69,2.22,2.98,2.55,2.5,2.52
88,3.2,3.6,3.07,3.04,2.94,2.75,1.83,2.3
89,3.2,3.43,3.01,2.48,2.96,2.52,3.19,2.57
90,3.34,3.74,3.61,3.36,3.02,2.8,4.03,3.28
91,3.82,3.71,3.43,2.61,3.01,2.85,3.59,2.98
92,3.29,3.82,3.17,2.54,2.99,2.83,2.92,2.73
93,3.18,3.97,3.03,2.99,2.98,2.86,3.56,3.22
94,3.36,3.91,3.29,3.13,2.95,2.83,2.56,2.3
95,3.5,3.55,3.11,2.89,3.06,2.91,3.68,2.91
96,3.69,4.2,3.11,3.32,3.05,2.92,3.89,3.43
97,4.12,4.34,4.64,4.3,3.16,3.73,4.21,3.56
98,3.66,4.07,3.62,3.88,3.09,3.47,3.47,3.13
99,4.08,4.59,4.72,4.14,4.04,4.05,4.87,4.1
100,3.77,4.15,3.05,3.35,3.13,3.2,4.43,3.66
