"df","cfi","tli","rmsea","srmr_bentler_nomean"
"hon.honest",98,0.94362046458623,0.930963834187221,0.0484234010176045,0.0413853782671108
"hon.faking",98,0.957374620888243,0.947805658230502,0.0382442613991526,0.0294001278308338
"hon.persona_GPT3.5",98,0.709645145741268,0.644463443764818,0.0723782336187183,0.0789733384299275
"hon.shape_GPT3.5",98,0.843302858200062,0.808125948816402,0.105090137137206,0.0823574582650657
"hon.persona_GPT4",98,0.720435604269238,0.657676250125597,0.131158386039215,0.113377709972997
"hon.shape_GPT4",98,0.727996617815178,0.666934634059401,0.213273223955936,0.20272958734371
"emo.honest",98,0.882260582628241,0.855829284850907,0.0682139225591393,0.0556615960123813
"emo.faking",98,0.846486256360971,0.812023987380781,0.0619991747391142,0.0521763060268232
"emo.persona_GPT3.5",98,0.641751599746678,0.561328489485728,0.0838079982398834,0.0870525461479146
"emo.shape_GPT3.5",98,0.626607337963833,0.542784495465918,0.203677383953313,0.207527992807201
"emo.persona_GPT4",98,0.618863598589889,0.533302365620273,0.134644370031044,0.142286279324449
"emo.shape_GPT4",98,0.72709087447577,0.665825560582575,0.202786393536392,0.219392978488335
"ext.honest",98,0.913051086865435,0.893531943100532,0.0668839650008627,0.0481624111760863
"ext.faking",98,0.904043194171039,0.882501870413517,0.0563066072582747,0.042128355547704
"ext.persona_GPT3.5",98,0.792049691662507,0.745366969382661,0.0921267320962864,0.0854686892386659
"ext.shape_GPT3.5",98,0.810041646442592,0.7673979344195,0.148335351946994,0.0815612891027008
"ext.persona_GPT4",98,0.856095833276996,0.823790816257546,0.118439335508821,0.0871228622673641
"ext.shape_GPT4",98,0.778500750087636,0.728776428678738,0.214152544649173,0.100592320668341
"agr.honest",98,0.922546246678383,0.905158669402102,0.0563480446941521,0.0371257908016256
"agr.faking",98,0.883190971621598,0.856968536679507,0.0584020991156209,0.0415142276561528
"agr.persona_GPT3.5",98,0.601717950440125,0.51230769441648,0.099986731245301,0.0966190447196315
"agr.shape_GPT3.5",98,0.649736514137051,0.571105935678022,0.195073307106083,0.139317617910651
"agr.persona_GPT4",98,0.695947170301559,0.627690412614154,0.162102680573293,0.165343095837478
"agr.shape_GPT4",98,0.746245550555074,0.689280265985805,0.216597352093557,0.139031737974655
"con.honest",98,0.875204440866271,0.847189111264821,0.0694435209008253,0.0515378617220937
"con.faking",98,0.861067911932822,0.829879075836108,0.0655023872899616,0.0503593575335352
"con.persona_GPT3.5",98,0.794030731499389,0.747792732448231,0.0781000007802305,0.0712903601576778
"con.shape_GPT3.5",98,0.598371940907789,0.508210539887088,0.170324060293226,0.170795781936308
"con.persona_GPT4",98,0.695440201058266,0.627069633948897,0.152437107823674,0.102918136942332
"con.shape_GPT4",98,0.708093538744667,0.642563516830205,0.209507259298673,0.126945245829876
"ope.honest",98,0.900103932614087,0.877678284833576,0.0568555171458084,0.041985684876541
"ope.faking",98,0.895539037252313,0.872088617043648,0.0610203895366329,0.0446053625011976
"ope.persona_GPT3.5",98,0.593262844692044,0.501954503704543,0.0968997115611622,0.106264149242514
"ope.shape_GPT3.5",98,0.748136833921149,0.691596123168754,0.157733763281951,0.102219940965462
"ope.persona_GPT4",98,0.682979152896593,0.611811207628481,0.121265527320455,0.108080244022001
"ope.shape_GPT4",98,0.711500169544327,0.646734901482849,0.213696087213888,0.138673608042071
